SampleN,DI,GDD0,GDD5,GP,MI,MTCO,MTWA,Tmax,Tmin
A1_1_5,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053
A1_1_6,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053
A1_1_7,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053
A1_1_8,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053
A1_1_9,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053
A1_1_10,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053
A1_1_11,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053
A1_1_12,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053
A1_1_13,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053
A1_1_14,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053
A1_1_15,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053
A1_2_5,0.268132985,4903.700195,3468.899902,852.7999878,0.581532001,-1.899999976,26.29999924,40.41999817,-20.81999969
A1_2_7,0.268132985,4903.700195,3468.899902,852.7999878,0.581532001,-1.899999976,26.29999924,40.41999817,-20.81999969
A1_2_8,0.268132985,4903.700195,3468.899902,852.7999878,0.581532001,-1.899999976,26.29999924,40.41999817,-20.81999969
A1_2_9,0.268132985,4903.700195,3468.899902,852.7999878,0.581532001,-1.899999976,26.29999924,40.41999817,-20.81999969
A1_2_10,0.268132985,4903.700195,3468.899902,852.7999878,0.581532001,-1.899999976,26.29999924,40.41999817,-20.81999969
A1_2_11,0.268132985,4903.700195,3468.899902,852.7999878,0.581532001,-1.899999976,26.29999924,40.41999817,-20.81999969
A1_2_12,0.268132985,4903.700195,3468.899902,852.7999878,0.581532001,-1.899999976,26.29999924,40.41999817,-20.81999969
A1_2_13,0.268132985,4903.700195,3468.899902,852.7999878,0.581532001,-1.899999976,26.29999924,40.41999817,-20.81999969
A1_2_14,0.268132985,4903.700195,3468.899902,852.7999878,0.581532001,-1.899999976,26.29999924,40.41999817,-20.81999969
A1_2_15,0.268132985,4903.700195,3468.899902,852.7999878,0.581532001,-1.899999976,26.29999924,40.41999817,-20.81999969
A1_3_3,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969
A1_3_5,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969
A1_3_6,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969
A1_3_7,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969
A1_3_8,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969
A1_3_9,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969
A1_3_10,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969
A1_3_11,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969
A1_3_12,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969
A1_3_13,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969
A1_3_14,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969
A1_3_15,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969
A1_4_1,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924
A1_4_2,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924
A1_4_3,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924
A1_4_5,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924
A1_4_6,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924
A1_4_7,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924
A1_4_8,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924
A1_4_9,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924
A1_4_10,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924
A1_4_11,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924
A1_4_12,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924
A1_4_13,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924
A1_4_14,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924
A1_4_15,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924
A2_1_1,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908
A2_1_3,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908
A2_1_4,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908
A2_1_5,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908
A2_1_6,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908
A2_1_7,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908
A2_1_8,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908
A2_1_9,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908
A2_1_10,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908
A2_1_11,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908
A2_1_12,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908
A2_1_14,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908
A2_1_15,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908
A2_2_5,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092
A2_2_6,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092
A2_2_7,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092
A2_2_8,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092
A2_2_9,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092
A2_2_10,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092
A2_2_11,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092
A2_2_12,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092
A2_2_13,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092
A2_2_14,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092
A2_2_15,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092
A2_3_1,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076
A2_3_4,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076
A2_3_5,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076
A2_3_6,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076
A2_3_7,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076
A2_3_8,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076
A2_3_9,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076
A2_3_10,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076
A2_3_11,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076
A2_3_12,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076
A2_3_13,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076
A2_3_14,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076
A2_3_15,0.227621019,4802.700195,3373.800049,836.4000244,0.613740981,-1.899999976,25.79999924,40.77000046,-19.20000076
A3_1_4,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031
A3_1_5,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031
A3_1_6,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031
A3_1_7,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031
A3_1_8,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031
A3_1_9,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031
A3_1_10,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031
A3_1_11,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031
A3_1_12,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031
A3_1_13,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031
A3_1_14,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031
A3_1_15,0.185163975,4691.0,3262.699951,823.7000122,0.647495985,-1.700000048,25.20000076,39.75999832,-17.93000031
A3_2_1,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954
A3_2_2,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954
A3_2_5,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954
A3_2_6,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954
A3_2_7,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954
A3_2_8,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954
A3_2_9,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954
A3_2_10,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954
A3_2_11,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954
A3_2_12,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954
A3_2_13,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954
A3_2_14,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954
A3_2_15,0.226072013,5009.5,3535.699951,855.2000122,0.615010977,-1.100000024,26.39999962,41.5,-17.47999954
A3_3_2,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931
A3_3_5,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931
A3_3_6,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931
A3_3_7,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931
A3_3_8,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931
A3_3_9,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931
A3_3_10,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931
A3_3_11,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931
A3_3_12,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931
A3_3_13,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931
A3_3_14,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931
A3_3_15,0.225908995,4875.5,3436.899902,843.7999878,0.615103006,-1.700000048,26.10000038,40.95000076,-19.21999931
A5_1_1,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_2,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_3,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_4,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_5,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_6,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_7,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_8,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_9,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_10,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_11,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_12,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_13,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_14,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_15,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_16,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
A5_1_13d,0.39398402,5033.600098,3553.5,849.5,0.481638014,-1.200000048,26.79999924,41.16999817,-18.73999977
