SampleN,DI,GDD0,GDD5,GP,MI,MTCO,MTWA,Tmax,Tmin,SumTS
A1_1_5,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053,6.12953897
A1_1_6,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053,9.2906143
A1_1_7,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053,8.70437705
A1_1_8,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053,3.78437703
A1_1_9,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053,10.7154596
A1_1_10,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053,8.89120817
A1_1_11,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053,6.32845457
A1_1_12,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053,7.54643674
A1_1_13,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053,3.59501882
A1_1_14,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053,4.48556404
A1_1_15,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053,13.4620922
A1_2_5,0.268132985,4903.700195,3468.899902,852.7999878,0.581532001,-1.899999976,26.29999924,40.41999817,-20.81999969,7.89563974
A1_2_7,0.268132985,4903.700195,3468.899902,852.7999878,0.581532001,-1.899999976,26.29999924,40.41999817,-20.81999969,14.1591278
A1_2_8,0.268132985,4903.700195,3468.899902,852.7999878,0.581532001,-1.899999976,26.29999924,40.41999817,-20.81999969,9.63754416
A1_2_9,0.268132985,4903.700195,3468.899902,852.7999878,0.581532001,-1.899999976,26.29999924,40.41999817,-20.81999969,5.04564786
A1_2_10,0.268132985,4903.700195,3468.899902,852.7999878,0.581532001,-1.899999976,26.29999924,40.41999817,-20.81999969,10.5454431
A1_2_11,0.268132985,4903.700195,3468.899902,852.7999878,0.581532001,-1.899999976,26.29999924,40.41999817,-20.81999969,11.0847348
A1_2_12,0.268132985,4903.700195,3468.899902,852.7999878,0.581532001,-1.899999976,26.29999924,40.41999817,-20.81999969,10.7952651
A1_2_13,0.268132985,4903.700195,3468.899902,852.7999878,0.581532001,-1.899999976,26.29999924,40.41999817,-20.81999969,5.7962708
A1_2_14,0.268132985,4903.700195,3468.899902,852.7999878,0.581532001,-1.899999976,26.29999924,40.41999817,-20.81999969,7.74037653
A1_2_15,0.268132985,4903.700195,3468.899902,852.7999878,0.581532001,-1.899999976,26.29999924,40.41999817,-20.81999969,5.46909972
A1_3_3,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969,6.23947766
A1_3_5,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969,7.24609158
A1_3_6,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969,10.2084263
A1_3_7,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969,9.90580186
A1_3_8,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969,17.8071906
A1_3_9,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969,4.70883865
A1_3_10,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969,4.02240725
A1_3_11,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969,4.08367461
A1_3_12,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969,7.22422965
A1_3_13,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969,5.00796233
A1_3_14,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969,6.82875902
A1_3_15,0.26343298,4842.700195,3417.600098,845.5999756,0.585254014,-2.099999905,26.10000038,40.22999954,-21.06999969,3.47156001
A1_4_1,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924,7.37012367
A1_4_2,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924,12.907508
A1_4_3,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924,15.0815699
A1_4_5,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924,4.04718574
A1_4_6,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924,6.41438498
A1_4_7,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924,15.4278473
A1_4_8,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924,11.813027
A1_4_9,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924,9.3748222
A1_4_10,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924,8.8521317
A1_4_11,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924,5.54630047
A1_4_12,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924,8.8863263
A1_4_13,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924,10.821524
A1_4_14,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924,8.98383235
A1_4_15,0.23525703,4512.5,3135.699951,811.7999878,0.607629001,-3.0,25.0,38.84000015,-22.29999924,14.5179675
A2_1_1,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908,8.63561063
A2_1_3,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908,5.20072162
A2_1_4,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908,3.42978411
A2_1_5,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908,4.68252791
A2_1_6,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908,14.3922317
A2_1_7,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908,5.15391004
A2_1_8,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908,9.31390025
A2_1_9,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908,2.52111707
A2_1_10,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908,6.2654502
A2_1_11,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908,5.0314173
A2_1_12,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908,9.15003471
A2_1_14,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908,4.40338309
A2_1_15,0.236590981,4885.5,3443.699951,844.2000122,0.606634021,-1.600000024,26.10000038,41.04000092,-18.95999908,4.28305784
A2_2_5,0.237112999,4875.899902,3435.800049,843.7000122,0.60621798,-1.700000048,26.10000038,40.97999954,-19.04000092,3.59956276
