SampleN,ALT_extract,Longitude,Latitude
A1_1_5,256,117.7015533,36.34113333
A1_1_6,256,117.7015533,36.34113333
A1_1_7,256,117.7015533,36.34113333
A1_1_8,256,117.7015533,36.34113333
A1_1_9,256,117.7015533,36.34113333
A1_1_10,256,117.7015533,36.34113333
A1_1_11,256,117.7015533,36.34113333
A1_1_12,256,117.7015533,36.34113333
A1_1_13,256,117.7015533,36.34113333
A1_1_14,256,117.7015533,36.34113333
A1_1_15,256,117.7015533,36.34113333
A1_2_5,248,117.700625,36.32658333
A1_2_7,248,117.700625,36.32658333
A1_2_8,248,117.700625,36.32658333
A1_2_9,248,117.700625,36.32658333
A1_2_10,248,117.700625,36.32658333
A1_2_11,248,117.700625,36.32658333
A1_2_12,248,117.700625,36.32658333
A1_2_13,248,117.700625,36.32658333
A1_2_14,248,117.700625,36.32658333
A1_2_15,248,117.700625,36.32658333
A1_3_3,285,117.7803967,36.32773667
A1_3_5,285,117.7803967,36.32773667
A1_3_6,285,117.7803967,36.32773667
A1_3_7,285,117.7803967,36.32773667
A1_3_8,285,117.7803967,36.32773667
A1_3_9,285,117.7803967,36.32773667
A1_3_10,285,117.7803967,36.32773667
A1_3_11,285,117.7803967,36.32773667
A1_3_12,285,117.7803967,36.32773667
A1_3_13,285,117.7803967,36.32773667
A1_3_14,285,117.7803967,36.32773667
A1_3_15,285,117.7803967,36.32773667
A1_4_1,348,117.8124817,36.34571167
A1_4_2,348,117.8124817,36.34571167
A1_4_3,348,117.8124817,36.34571167
A1_4_5,348,117.8124817,36.34571167
A1_4_6,348,117.8124817,36.34571167
A1_4_7,348,117.8124817,36.34571167
A1_4_8,348,117.8124817,36.34571167
A1_4_9,348,117.8124817,36.34571167
A1_4_10,348,117.8124817,36.34571167
A1_4_11,348,117.8124817,36.34571167
A1_4_12,348,117.8124817,36.34571167
A1_4_13,348,117.8124817,36.34571167
A1_4_14,348,117.8124817,36.34571167
A1_4_15,348,117.8124817,36.34571167
A2_1_1,256,117.8964017,35.85612167
A2_1_3,256,117.8964017,35.85612167
A2_1_4,256,117.8964017,35.85612167
A2_1_5,256,117.8964017,35.85612167
A2_1_6,256,117.8964017,35.85612167
A2_1_7,256,117.8964017,35.85612167
A2_1_8,256,117.8964017,35.85612167
A2_1_9,256,117.8964017,35.85612167
A2_1_10,256,117.8964017,35.85612167
A2_1_11,256,117.8964017,35.85612167
A2_1_12,256,117.8964017,35.85612167
A2_1_14,256,117.8964017,35.85612167
A2_1_15,256,117.8964017,35.85612167
A2_2_5,261,117.8948933,35.86023167
A2_2_6,261,117.8948933,35.86023167
A2_2_7,261,117.8948933,35.86023167
A2_2_8,261,117.8948933,35.86023167
A2_2_9,261,117.8948933,35.86023167
A2_2_10,261,117.8948933,35.86023167
A2_2_11,261,117.8948933,35.86023167
A2_2_12,261,117.8948933,35.86023167
A2_2_13,261,117.8948933,35.86023167
A2_2_14,261,117.8948933,35.86023167
A2_2_15,261,117.8948933,35.86023167
A2_3_1,263,117.9678967,35.843845
A2_3_4,263,117.9678967,35.843845
A2_3_5,263,117.9678967,35.843845
A2_3_6,263,117.9678967,35.843845
A2_3_7,263,117.9678967,35.843845
A2_3_8,263,117.9678967,35.843845
A2_3_9,263,117.9678967,35.843845
A2_3_10,263,117.9678967,35.843845
A2_3_11,263,117.9678967,35.843845
