SampleN,Pb_S,Cr_S,Cd_S,As_S,Sb_S,Sn_S,SumTS
A1_1_5,9.468018687,4.899917418,0.69428545,1.152607906,0.100886433,3.456331326,6.12953897
A1_1_6,8.332106035,5.770936362,0.289723395,1.568754687,0.134290889,3.410863967,9.2906143
A1_1_7,10.77038714,7.138182453,3.872319661,1.826046078,0.141319169,4.111149599,8.70437705
A1_1_8,11.02118919,5.765378949,0.610159259,1.444662104,0.12293758,4.251917035,3.78437703
A1_1_9,10.99147704,5.017303306,0.880421061,1.148270267,0.127514731,4.479323244,10.7154596
A1_1_10,10.31080441,4.829580419,0.301574375,1.241907777,0.118185877,3.72654282,8.89120817
A1_1_11,11.86758775,5.166099177,0.20051016,1.518160649,0.131907506,3.815447644,6.32845457
A1_1_12,13.81346522,8.426754407,0.505418035,1.930784198,0.160805018,4.961625511,7.54643674
A1_1_13,11.61188452,8.028125412,0.289433518,1.867866189,0.152687275,4.792433689,3.59501882
A1_1_14,7.042029144,5.894002493,0.324705153,1.360728879,0.116783967,3.840757272,4.48556404
A1_1_15,7.110404193,7.184877777,0.49893489,1.531338235,0.363904369,4.495233375,13.4620922
A1_2_5,13.7545843,23.48883146,0.667237523,7.028765705,0.458229613,5.022121549,7.89563974
A1_2_7,15.50716651,27.18967712,0.801260464,8.078541667,0.505813586,5.48697645,14.1591278
A1_2_8,16.70252854,28.6197318,0.626332366,8.305392354,0.542982813,6.022428101,9.63754416
A1_2_9,18.39576212,23.27597922,0.889898056,7.16568962,0.444158794,4.904497197,5.04564786
A1_2_10,15.14663971,28.92955006,1.041668956,8.686334549,0.689834842,5.88139591,10.5454431
A1_2_11,28.13696747,26.65981356,1.764074116,8.010679157,0.474855381,5.506049852,11.0847348
A1_2_12,16.52217895,26.40943953,1.021753175,7.962843771,0.469916192,5.679899656,10.7952651
A1_2_13,16.84941757,27.59692291,0.567843224,8.120397769,0.5484089,5.917558874,5.7962708
A1_2_14,18.54047492,31.05753811,0.901913665,9.376471489,0.663784511,6.396647909,7.74037653
A1_2_15,15.96343714,27.73213381,0.586853286,8.488855205,0.565703481,5.091186422,5.46909972
A1_3_3,33.16666523,24.9374125,1.956412179,4.353736689,0.389363392,4.56279295,6.23947766
A1_3_5,23.3234341,23.41911833,2.856757725,0.935070419,0.410993133,3.857663664,7.24609158
A1_3_6,10.13146253,13.13273451,1.357509269,2.09379457,0.265796452,2.979411055,10.2084263
A1_3_7,11.46770401,22.43485869,0.673935979,0.801548554,0.312794955,4.020446198,9.90580186
A1_3_8,17.69362628,25.09978772,3.009323353,5.5188452,0.330563658,4.332287986,17.8071906
A1_3_9,18.03839645,28.0685185,2.070694862,0.902833177,0.247853336,4.555315516,4.70883865
A1_3_10,26.16039909,24.15346064,2.154490813,0.820342976,0.277933832,4.443557229,4.02240725
A1_3_11,24.61044538,27.84393383,3.221305439,1.07010249,0.298124793,4.669512534,4.08367461
A1_3_12,20.88497948,29.47649266,2.368961632,0.980950537,0.345383458,4.647325672,7.22422965
A1_3_13,22.50393094,38.06572198,2.794862038,0.928918651,0.35302868,4.79394512,5.00796233
A1_3_14,20.65890422,24.02914619,2.801065386,0.82642211,0.293369761,4.440509852,6.82875902
A1_3_15,21.04729392,24.96342034,3.544031501,4.911707937,0.295330435,4.66510472,3.47156001
A1_4_1,22.52056687,26.3168628,1.81423803,1.065957251,0.441756743,4.647232334,7.37012367
A1_4_2,26.13224129,32.53163452,4.966524353,1.669959407,0.473859129,4.953420792,12.907508
A1_4_3,28.15283187,36.42669456,2.943063578,1.502710406,0.754172791,5.047649546,15.0815699
A1_4_5,30.61434498,42.70193763,2.25667038,1.379557276,0.615375604,5.242103363,4.04718574
A1_4_6,30.99894761,49.28361362,2.987059452,1.607978646,0.6610591,5.544007035,6.41438498
A1_4_7,27.96417205,49.35885939,1.421089342,1.410785726,0.667649627,5.747531044,15.4278473
A1_4_8,31.41406129,35.02509384,4.762310228,1.808840681,0.731549695,5.182695451,11.813027
A1_4_9,24.61199672,33.8163487,1.479638478,1.510232983,0.661569175,4.957108622,9.3748222
A1_4_10,29.66236431,31.69134142,7.663488035,9.345576022,0.5924764,5.95165872,8.8521317
A1_4_11,22.53558767,35.58961072,1.690166732,1.242233366,0.401128929,4.814670147,5.54630047
A1_4_12,28.74531199,32.5389208,3.275085986,1.082316664,0.422136495,4.934430412,8.8863263
A1_4_13,22.83570169,27.57913833,2.383583595,1.005078172,0.354361112,3.976365257,10.821524
A1_4_14,24.25143409,32.69024886,1.346380359,1.175063421,0.523113518,4.581444065,8.98383235
A1_4_15,26.88287456,32.09264304,3.179368538,1.14547226,0.58645617,4.67060513,14.5179675
A2_1_1,23.5931757,29.43522104,1.832809995,0.900040265,0.549933447,4.764455475,8.63561063
A2_1_3,16.33605918,20.25585095,1.633389999,0.663818086,0.289660792,4.333983373,5.20072162
A2_1_4,13.95984836,18.32261565,0.540524426,3.01810132,0.337954506,6.74135341,3.42978411
A2_1_5,8.089943057,12.40494881,0.311944641,2.437119313,0.1969741,4.151499802,4.68252791
A2_1_6,13.58010055,22.54641571,0.751335397,3.679922769,0.389874455,6.768760918,14.3922317
A2_1_7,9.830258987,15.09299581,1.394588876,2.662713807,0.239702216,6.050551739,5.15391004
A2_1_8,12.95816341,21.41569585,1.630115788,4.099424081,0.319662913,6.232714387,9.31390025
A2_1_9,14.4481301,26.46683557,0.756092038,4.380745309,0.409997185,5.883317405,2.52111707
A2_1_10,15.41811962,25.00890635,4.301825754,4.475788339,0.301542945,7.031063616,6.2654502
A2_1_11,15.33686865,26.14063668,2.344492426,4.093746383,0.295461271,6.922713996,5.0314173
A2_1_12,9.980672156,16.88520476,1.211816679,2.834242056,0.199161839,5.017718484,9.15003471
A2_1_14,8.092629433,12.04236722,0.679621166,2.140444541,0.157996689,4.591474902,4.40338309
A2_1_15,11.22696381,15.15887427,0.984043722,2.299590705,0.163509987,4.067350598,4.28305784
A2_2_5,21.14269365,38.29555215,0.741353128,8.474190793,0.688335655,6.389653846,3.59956276
A2_2_6,22.33072266,41.82513816,0.443748409,9.600630469,0.592298499,7.794995339,3.67175536
