SampleN,Mn_S,Cu_S,Fe_S,Zn_S,Mg_S,K_S,Ca_S,Mo_S,SumTS
A1_1_5,51.44587592,9.814316017,4723.435309,19.04116153,643.4366264,889.3820208,893.9115994,0.152124224,6.12953897
A1_1_6,64.57306829,9.664362479,5703.190559,16.58076143,834.557504,834.8562782,1000.670942,0.137034381,9.2906143
A1_1_7,63.38550099,10.43790548,6416.244907,19.92605508,901.0270465,896.6154317,1068.393255,0.16459463,8.70437705
A1_1_8,55.61626316,8.426232576,5607.499786,25.65585067,782.8913119,1007.252138,1180.242533,0.145818108,3.78437703
A1_1_9,47.66077255,6.297977252,5141.003078,18.03766957,700.2362602,925.0864456,1080.295083,0.154452634,10.7154596
A1_1_10,48.82571076,8.826129527,5287.969023,18.65410112,666.5210288,832.3988165,1151.447618,0.15945126,8.89120817
A1_1_11,60.60778259,9.375585559,5970.217116,15.96045557,794.9237864,898.9732674,1335.095718,0.24361814,6.32845457
A1_1_12,62.67027851,7.865804338,8286.136823,19.90973953,1107.460213,1192.805005,1698.032874,0.195042395,7.54643674
A1_1_13,76.87020292,9.022582148,7049.992449,18.63908443,911.7414178,1047.447716,1770.460325,0.172643823,3.59501882
A1_1_14,60.44913477,8.553003156,5120.14252,19.67389531,706.5720181,797.383678,1776.444266,0.108075274,4.48556404
A1_1_15,62.72355021,11.33385583,5634.342527,27.86843644,777.5563599,993.918439,2126.541416,0.160406983,13.4620922
A1_2_5,475.0238085,33.93439738,21193.68539,41.62256268,4554.250561,3222.696433,29793.13072,0.307792683,7.89563974
A1_2_7,458.6222614,31.08543827,23323.04849,48.93268147,5140.892932,3534.653752,6401.230585,0.345383474,14.1591278
A1_2_8,481.0036411,28.54190681,24296.21164,51.63992579,5346.985694,3707.317443,5182.941561,0.369155145,9.63754416
A1_2_9,387.1948079,24.01325151,20075.47966,52.3780435,4435.400208,3041.137191,4273.502492,0.297467827,5.04564786
A1_2_10,474.6601336,44.20698015,24201.09044,47.9940413,5299.495325,3421.702295,5063.860414,0.362235104,10.5454431
A1_2_11,445.8478417,26.27682217,22914.08302,63.32377998,5084.375267,3391.833128,5067.24107,0.350514121,11.0847348
A1_2_12,429.2774427,28.76666402,22349.56893,60.96389227,4965.085518,3335.690699,4817.311615,0.345177088,10.7952651
A1_2_13,447.7289819,30.66221994,24408.46131,58.92281301,5142.38511,3420.091983,4565.38138,0.370191434,5.7962708
A1_2_14,512.0962447,36.40569586,26717.49198,69.16422694,5915.932279,3831.999003,5409.317217,0.39666487,7.74037653
A1_2_15,467.6404659,29.96660912,23505.84738,47.26663724,5228.834577,3285.456534,6508.847685,0.353593843,5.46909972
A1_3_3,306.3904705,130.1974819,17276.79617,157.1050834,3437.008986,3188.29516,5344.345806,0.640324665,6.23947766
A1_3_5,287.2884246,89.78175766,16470.23823,105.3827702,3205.871661,2945.824694,4227.562379,0.400822971,7.24609158
A1_3_6,193.4433069,47.09684978,10580.68098,70.51901885,1856.534997,1410.55764,2658.080275,0.227912192,10.2084263
A1_3_7,254.8943003,78.25565416,15403.70086,98.29035784,2972.698601,2824.626199,3807.958956,0.338794256,9.90580186
A1_3_8,373.2756851,83.5532264,19459.98979,117.4801413,3358.795287,3037.254521,4160.543107,0.464613876,17.8071906
A1_3_9,354.0002308,92.87001721,19509.87567,127.9771124,3948.535758,3461.681541,4535.28364,0.472684655,4.70883865
A1_3_10,318.6153694,69.47099391,16481.36738,88.87808542,3173.498116,2741.130152,3492.959648,0.396603719,4.02240725
A1_3_11,413.1279233,89.99710482,19755.13864,109.981658,3918.472771,3342.968746,7045.189269,0.498331591,4.08367461
A1_3_12,399.9349803,73.17904335,19906.52308,101.3726598,3637.771173,3056.40283,4130.127946,0.465225953,7.22422965
A1_3_13,363.4699244,107.239468,21023.6859,140.2906045,3995.983272,3545.961942,4893.981219,0.487677975,5.00796233
A1_3_14,288.8879054,82.71974551,16226.51626,105.7229146,3206.683134,2912.041256,4491.399999,0.407416433,6.82875902
A1_3_15,318.5555597,93.36870961,17736.17462,140.6256921,3402.646131,3065.941324,5498.444338,0.44206553,3.47156001
A1_4_1,522.6279462,33.54416383,22935.34999,52.39789111,6837.077463,3377.406038,75394.96016,0.39879855,7.37012367
A1_4_2,533.2156554,32.35623834,27102.49853,57.26394419,7143.962706,4015.61271,32627.91087,0.351495524,12.907508
A1_4_3,580.7129446,37.3614987,29129.51475,70.48062045,8443.19409,4293.437079,17115.37816,0.45336203,15.0815699
A1_4_5,523.5952676,33.39503873,27516.15524,67.90064512,7709.359205,3629.73031,12003.31401,0.451217443,4.04718574
A1_4_6,636.819693,41.09116008,31751.15871,81.32706653,9026.038906,4254.524586,16702.1592,0.487461859,6.41438498
A1_4_7,600.9330445,37.46404491,29016.91927,72.8826733,8254.724513,3913.573538,14310.01035,0.4600374,15.4278473
A1_4_8,520.4774671,31.4715631,27020.22289,61.83108199,7704.965872,3685.826258,11123.23116,0.392327056,11.813027
A1_4_9,506.2679893,34.76388411,25401.90113,69.27782323,7128.79154,3482.429507,19468.09117,0.381336532,9.3748222
A1_4_10,505.2452729,38.64483981,25355.97383,68.25639873,7084.794932,4000.775367,28077.09258,0.383168489,8.8521317
A1_4_11,478.3930124,34.6976714,26565.249,61.02302859,6735.083958,3767.978031,17810.12631,0.384215908,5.54630047
A1_4_12,501.1762015,35.60241101,25185.23968,71.95704439,6780.454692,4326.114698,15512.2078,0.425379362,8.8863263
A1_4_13,410.2328964,26.60937392,21421.19081,61.09047671,5295.11515,3191.198197,13418.32984,0.274463111,10.821524
A1_4_14,503.1528797,34.10754235,25061.23927,63.46281255,6489.552504,3485.545212,13653.27428,0.36331991,8.98383235
A1_4_15,492.7445652,31.0330134,24363.05584,59.85118899,6209.859812,3610.156012,12492.83848,0.321386532,14.5179675
A2_1_1,186.3352955,25.73532447,17710.5898,37.32483439,3643.068786,2223.043589,2009.048276,0.215192542,8.63561063
A2_1_3,134.644493,21.73014239,12929.19094,28.35028891,2611.787709,1689.575543,1557.712327,0.170499709,5.20072162
A2_1_4,104.4131968,22.36798835,11397.32453,28.56199835,2300.332547,1571.51306,1494.057469,0.387249738,3.42978411
