SampleN,V_S,Na_S,Co_S,SumTS
A1_1_5,5.752392436,277.9203362,1.345628733,6.12953897
A1_1_6,7.553073443,193.2357613,1.720476117,9.2906143
A1_1_7,8.828873335,187.2065307,1.899481197,8.70437705
A1_1_8,7.139984585,282.5339971,1.479005718,3.78437703
A1_1_9,5.957935177,285.5430539,1.21143497,10.7154596
A1_1_10,6.516024984,223.2615244,1.223691329,8.89120817
A1_1_11,7.251451798,196.1301031,1.64636065,6.32845457
A1_1_12,10.41664973,226.0637564,1.721836446,7.54643674
A1_1_13,9.849488704,272.7481824,2.058944976,3.59501882
A1_1_14,7.249575246,205.0036383,1.61434694,4.48556404
A1_1_15,7.411500626,260.5149047,1.571009553,13.4620922
A1_2_5,29.82208527,230.4461011,7.938882175,7.89563974
A1_2_7,33.95568757,213.8445446,9.355412278,14.1591278
A1_2_8,35.01727762,229.9916694,9.981686645,9.63754416
A1_2_9,29.51738756,169.2540226,8.033245969,5.04564786
A1_2_10,35.03063033,221.4047592,9.8480236,10.5454431
A1_2_11,33.53670845,195.6214859,9.219719839,11.0847348
A1_2_12,32.76000608,220.2909584,9.137118624,10.7952651
A1_2_13,34.50609246,212.541984,9.745144509,5.7962708
A1_2_14,38.48722506,231.2221541,11.25162809,7.74037653
A1_2_15,33.87980361,170.361039,9.620919569,5.46909972
A1_3_3,25.05053686,317.2668776,6.711814761,6.23947766
A1_3_5,24.48829724,232.7725945,6.225778196,7.24609158
A1_3_6,14.35272875,159.3679192,4.311260111,10.2084263
A1_3_7,22.12220723,279.3366492,5.714129408,9.90580186
A1_3_8,26.8086319,301.8762585,7.469253669,17.8071906
A1_3_9,28.30230589,294.6455191,7.689679146,4.70883865
A1_3_10,24.56930086,295.5793325,6.796980886,4.02240725
A1_3_11,29.36297833,292.3655585,8.631459095,4.08367461
A1_3_12,29.66011163,282.7355263,7.98801129,7.22422965
A1_3_13,31.16981695,351.7267682,7.759843486,5.00796233
A1_3_14,23.28322839,329.4222767,6.423087193,6.82875902
A1_3_15,25.16650565,345.1565275,6.766138877,3.47156001
A1_4_1,33.94981657,225.9243236,9.108680517,7.37012367
A1_4_2,41.71137516,271.1922076,10.66665186,12.907508
A1_4_3,43.51496679,205.7155514,11.81872218,15.0815699
A1_4_5,43.15778981,197.0165221,11.30745885,4.04718574
A1_4_6,48.92081469,232.5453276,13.04196256,6.41438498
A1_4_7,44.01463733,182.6897924,12.19418311,15.4278473
A1_4_8,42.19887682,565.3439652,11.09229579,11.813027
A1_4_9,39.65432547,273.3410874,10.39647794,9.3748222
A1_4_10,38.7132405,274.0418445,10.24557373,8.8521317
A1_4_11,39.35370265,248.7638913,9.773668655,5.54630047
A1_4_12,39.86235547,291.2618491,10.16282795,8.8863263
A1_4_13,32.90035584,183.3637969,8.648557015,10.821524
A1_4_14,38.3409023,237.9269857,10.81968657,8.98383235
A1_4_15,38.57765636,201.8035723,10.23150181,14.5179675
A2_1_1,29.07504256,248.6435938,6.763482164,8.63561063
A2_1_3,20.97313572,253.1507523,5.014020148,5.20072162
A2_1_4,18.10113541,312.5739541,4.207566691,3.42978411
A2_1_5,13.82332039,215.0905452,3.355487216,4.68252791
A2_1_6,24.17713934,300.1889306,5.672567763,14.3922317
A2_1_7,15.96882943,299.1674253,3.725536276,5.15391004
A2_1_8,23.86838447,270.5793729,6.427933493,9.31390025
A2_1_9,27.93629294,221.5542679,6.458134915,2.52111707
A2_1_10,27.03104054,305.2831208,6.661420198,6.2654502
A2_1_11,26.17988474,236.3559002,6.389849123,5.0314173
A2_1_12,16.9611562,189.526784,4.416555257,9.15003471
A2_1_14,13.17343819,198.6784329,3.196567197,4.40338309
A2_1_15,15.63376364,253.3292259,3.650656204,4.28305784
A2_2_5,42.97049389,188.5786294,13.13885569,3.59956276
A2_2_6,45.73167768,157.2802766,12.3390455,3.67175536
A2_2_7,40.42903042,142.083822,14.33645578,5.87284298
A2_2_8,48.7838105,196.3974599,13.42011069,4.73170575
A2_2_9,38.66600429,125.8451677,12.52358468,7.20263991
A2_2_10,44.76724002,131.4351525,12.42996906,4.22274933
A2_2_11,45.65662513,125.4715588,14.7810858,6.40604933
A2_2_12,49.60170603,151.8128942,13.81579834,4.55281768
A2_2_13,48.13810435,142.4702126,13.5003975,5.69708636
A2_2_14,39.25893662,170.0689005,10.21531964,5.785083
A2_2_15,39.26500326,150.885869,10.57681143,6.96029029
A2_3_1,43.21380525,153.1167196,10.60673887,11.1553562
A2_3_4,44.11979243,153.6255376,10.46813632,10.1387645
A2_3_5,38.64203358,132.4461606,9.455907549,5.70933502
A2_3_6,57.79058158,368.7728255,11.94840137,4.93086006
A2_3_7,53.12128966,311.1719104,11.38349638,11.1689683
A2_3_8,62.57895203,346.9766082,13.76550231,8.65291963
A2_3_9,47.61613717,263.3181012,10.20995233,5.91388446
A2_3_10,53.70592829,327.6000447,11.63188669,1.50115556
A2_3_11,48.58886272,260.2377843,11.36761555,2.69239932
A2_3_12,47.66101929,299.094095,11.04982411,18.4061108
A2_3_13,50.16567422,279.5617549,11.13178515,10.8818458
A2_3_14,43.36274113,306.0910439,10.07149766,10.2193982
A2_3_15,50.00085202,272.2217446,11.07438027,9.22936651
A3_1_4,15.10874111,484.2193072,5.728712553,4.49855648
A3_1_5,42.56398162,494.6972611,13.67535295,8.62403927
A3_1_6,30.43358327,336.2205555,9.690136583,8.43381684
A3_1_7,44.50782887,518.9357679,14.74487415,3.91028568
A3_1_8,44.55252937,427.2543046,14.86024293,5.5455326
A3_1_9,37.86653814,551.9079888,12.21592866,6.64494442
A3_1_10,33.61190058,576.774516,10.86172634,7.51144827
A3_1_11,37.62036855,580.6350508,12.53895893,14.0538438
A3_1_12,40.27734521,423.7299953,12.50122035,6.71343546
A3_1_13,43.47606023,587.7324118,13.60576549,6.25402875
A3_1_14,40.7856366,644.9620669,12.38620554,8.02713565
A3_1_15,45.98992739,474.1326989,13.80351246,7.05582551
A3_2_1,39.88197293,496.948121,11.65367693,8.85572304
A3_2_2,36.4540151,417.4289562,9.719103131,8.40736587
A3_2_5,34.73193957,543.7678203,10.131876,6.36538686
A3_2_6,30.6532175,433.2906527,9.273636116,15.540286
A3_2_7,42.02912513,395.4308499,13.10842673,7.56958564
A3_2_8,35.39453976,541.869695,11.16320651,6.36115135
A3_2_9,34.09139795,436.4517147,10.69118817,13.2495414
A3_2_10,43.54729188,669.3637866,12.20929217,4.33328152
A3_2_11,43.82174383,490.5128312,11.58682117,6.56621801
A3_2_12,46.39271572,425.517862,12.18552596,3.69677213
A3_2_13,35.19122173,447.9643595,10.22953868,6.30232157
A3_2_14,30.8383118,407.2569267,9.637116723,11.414092
A3_2_15,35.82999242,576.3005247,11.06203708,5.29310059
A3_3_2,47.7786557,489.4621083,10.88220288,4.09674206
A3_3_5,30.57970094,456.7339567,7.397400645,5.2714414
A3_3_6,20.58565214,461.5206642,4.885432719,3.88028085
A3_3_7,21.78181742,238.2663275,5.444882792,8.55818376
A3_3_8,23.87693246,492.5305652,5.50006713,6.45109927
A3_3_9,25.32638547,263.3462058,6.104577251,3.58956517
A3_3_10,21.79293713,425.9101769,5.401861457,5.98206333
A3_3_11,26.29536201,583.7739967,6.647486707,4.50307087
A3_3_12,22.67257226,615.4315886,6.016559414,3.80522044
A3_3_13,26.88858634,358.3543297,6.430501899,8.43595922
A3_3_14,23.23669647,399.1922102,5.696924298,4.24431618
A3_3_15,23.61390983,415.81920360000004,5.65215703,7.47977887
A5_1_1,39.59546283,341.9428289,10.42644918,9.07404803
A5_1_2,45.95561765,413.6238252,11.5941154,13.1951828
A5_1_3,49.43382987,424.7816138,12.24171657,11.8516862
