SampleN,Ga_S,Rb_S,Li_S,Sr_S,Ba_S,Be_S,Cs_S,Ni_S,Sc_S,Ge_S,Hf_S,Nb_S,Ti_S,Zr_S,SumTS
A1_1_5,2.030251267,9.816489611,3.256671459,3.451048828,23.73998729,0.368974445,1.138911526,2.785994505,0.666163599,0.48831395,0.037382105,0.003106962,94.43142274,2.096759925,6.12953897
A1_1_6,2.263547345,9.948900383,4.207117757,3.983011805,26.2479305,0.291584442,1.26927632,3.462462455,0.833247364,0.512493159,0.031454504,0.047108135,117.8195904,2.096630033,9.2906143
A1_1_7,2.408211482,10.31833924,4.244250073,3.798482477,28.00488977,0.264469505,1.318829452,4.377605781,0.963081195,0.52015565,0.009869331,0.094031127,135.9302915,0.865120073,8.70437705
A1_1_8,2.345750645,11.36304613,4.383214086,4.040257694,25.18329407,0.29986282,1.36907593,4.480906914,0.725426045,0.518948521,0.037990866,0.021869318,114.3003164,2.06830484,3.78437703
A1_1_9,2.286445365,10.07505535,3.265780446,3.937054228,24.62307276,0.338156233,1.151923627,2.958331705,0.678094644,0.476230002,0.081766578,0.003106962,87.06079721,3.620569992,10.7154596
A1_1_10,2.179827541,9.835779682,3.796276616,3.46036186,22.47799225,0.341446834,1.146152569,2.743297756,0.619858629,0.504060324,0.053448258,0.003106962,104.2282243,2.606731743,8.89120817
A1_1_11,2.483193411,11.37837024,3.743036565,3.779345681,25.83649801,0.333410938,1.390041384,3.140509626,0.764966653,0.570058118,0.042857271,0.031803807,115.474449,2.380875832,6.32845457
A1_1_12,3.219197581,15.49348856,6.090832094,5.39907355,35.42241106,0.510749058,2.040238056,4.923152751,1.239439926,0.717546958,0.106291221,0.086538091,177.0019397,4.015787583,7.54643674
A1_1_13,2.603335322,11.4975613,4.82572342,4.636062472,31.61054885,0.286828721,1.369946192,4.716534525,0.951168896,0.597039587,0.063842443,0.079318659,142.3085523,2.625696298,3.59501882
A1_1_14,1.818618467,8.456914215,3.172514074,3.812616779,25.651007,0.195239874,0.938745146,3.499878541,0.724359639,0.394903082,0.015844486,0.009320887,109.6431341,1.226723757,4.48556404
A1_1_15,1.957802118,9.06600601,4.48267848,4.779588259,27.94862472,0.239821611,0.908913756,4.367334059,0.793390877,0.543640536,0.032701334,0.062629478,109.4934245,2.20262054,13.4620922
A1_2_5,5.311349019,25.54961507,13.25886422,30.05462498,95.03450244,0.832493219,2.736502143,17.96036256,3.92716905,1.484954981,0.047139618,1.006866001,542.9350753,2.72489676,7.89563974
A1_2_7,6.143488909,29.26265922,15.20051334,17.18949495,107.8344272,0.926853164,3.157347732,21.58283884,4.526212466,1.573660742,0.049503714,1.273079087,632.5525241,2.809688329,14.1591278
A1_2_8,6.381734051,30.08112978,16.20751262,17.21854046,116.8427867,0.963431098,3.282764065,22.48428318,4.815373608,1.667853739,0.048521094,1.227856151,638.995031,2.724224478,9.63754416
A1_2_9,5.324086347,24.91861343,13.59872469,13.93192296,94.34755227,0.781994913,2.720696436,18.45168174,3.971040756,1.433736933,0.027987959,0.975317733,532.5266027,1.916012959,5.04564786
A1_2_10,6.419860968,28.94295028,16.29452532,16.79894487,112.6452952,1.057775968,3.304871829,26.71209618,4.761281873,1.762959281,0.060750124,1.11507074,627.2185857,3.072545796,10.5454431
A1_2_11,6.182369039,28.47023091,15.70523039,16.63166812,107.7008987,0.788087814,3.159965566,21.19542176,4.432156821,1.663575606,0.03506191,1.159039598,594.4387738,2.391285022,11.0847348
A1_2_12,6.021796049,27.96852048,15.73958833,16.00609313,107.4386125,0.836095335,3.172267921,21.42546988,4.306574168,1.654338455,0.045102026,1.108876967,582.3811894,2.313449697,10.7952651
A1_2_13,6.29151376,29.29364699,15.76923835,16.47777825,111.515828,0.943573483,3.300769726,22.40184155,4.548493113,1.838073613,0.048381526,1.248833258,625.8667531,2.718685616,5.7962708
A1_2_14,7.173788613,33.35929002,17.72509348,19.57619877,128.1725423,1.238683605,3.82669694,25.40337651,5.095416405,1.999002778,0.067353109,1.517110205,715.6703267,3.365557035,7.74037653
A1_2_15,6.366073236,28.70178259,15.95617376,18.33637389,112.4040895,1.041974718,3.290991723,21.77568488,4.49568569,1.634219339,0.046783156,1.190075562,614.1206686,2.544577275,5.46909972
A1_3_3,5.010652074,25.05088186,12.36227095,20.58967079,87.3043392,0.770795709,2.046908214,21.59225357,2.901070514,1.203574021,0.0583212,1.515508981,570.8823638,0.77425287,6.23947766
A1_3_5,4.670006011,22.50144254,11.81295281,19.30862582,82.58534683,0.775407877,1.938677459,14.99912637,2.79247129,1.147730041,0.009046732,1.147939691,545.611816,0.611491973,7.24609158
A1_3_6,2.553732538,11.60203643,6.872257284,9.285488977,46.52244788,0.420462585,1.095510949,9.352466443,1.547741726,0.944280121,0.033409003,0.626007742,314.4416704,1.915151788,10.2084263
A1_3_7,4.401258726,21.61373103,11.29596752,17.59395011,71.21538863,0.613126725,1.800443731,13.67220277,2.640455858,1.209974673,0.015192802,1.101457457,490.2332278,1.027990435,9.90580186
A1_3_8,5.343796918,23.74900263,12.74888126,19.41445842,84.10088405,0.832496217,1.926046508,15.86946644,2.876332351,1.483469999,0.003392225,1.397465259,552.7554562,0.928201143,17.8071906
A1_3_9,5.86390639,28.58441692,14.22876962,22.28218975,96.19338267,0.757547883,2.237817606,17.69978327,3.090287977,1.499809863,0.026515342,1.128554483,639.8045245,1.232465311,4.70883865
A1_3_10,4.978445718,23.6247914,12.25974892,17.22575188,85.01777974,0.785393672,1.956352029,15.50445443,2.689578616,1.20508802,0.01382837,1.108254253,566.6607507,1.12267204,4.02240725
A1_3_11,5.69760653,28.61108902,14.25696951,24.295067,100.2834327,0.847466465,2.38081385,17.56517765,3.324314585,1.42904812,0.006008641,1.354025138,660.2938517,0.645839561,4.08367461
A1_3_12,5.712861852,26.69629903,13.79753184,20.02179391,97.23952838,0.854557594,2.208334218,17.6003577,3.179029269,1.472329128,0.010322116,1.490001246,677.1119434,0.668676495,7.22422965
A1_3_13,5.757961929,29.69771858,14.45039285,20.20394835,93.19672273,0.764667509,2.400357148,19.86707008,3.326638577,1.567968151,0.028747552,1.583754888,677.6643437,1.570851254,5.00796233
A1_3_14,4.739836773,24.50156355,12.22903087,19.42640786,79.25149359,0.631543846,1.911468286,14.72371904,2.727978324,1.106321591,0.042912271,1.282173526,549.4612415,3.146166352,6.82875902
A1_3_15,5.2402092,27.43359071,12.86116137,21.89790798,84.74439195,0.636520913,2.27090971,15.83618048,2.722438491,1.233401181,0.015602684,1.650362898,572.5405604,0.932120704,3.47156001
A1_4_1,6.419813844,26.58936894,15.27734128,78.81638513,107.3807551,0.875952497,2.67905221,20.16071159,4.903938943,1.574416857,0.030294368,1.155049675,759.9587851,1.736980636,7.37012367
A1_4_2,7.779918374,31.81167251,20.00276547,40.40492636,135.450451,1.027376989,3.314037723,24.39129209,5.681409888,1.790151179,0.026427881,1.552173514,973.7803017,1.670331429,12.907508
A1_4_3,7.85713523,32.36754749,19.29290763,27.09482674,139.219374,1.29751572,3.586720177,27.04970551,5.848870406,2.00042294,0.03965291,2.089413512,1046.411266,2.038110266,15.0815699
A1_4_5,7.892079686,29.38711913,21.24193446,25.10573124,134.5461463,1.25567859,3.460673006,26.23124921,5.603334205,1.976844236,0.036123506,1.732896943,1108.854987,2.009102828,4.04718574
A1_4_6,9.198413489,35.18448475,23.22631922,29.94184833,164.0031614,1.464540619,4.023805695,30.04805311,6.493203177,2.270055625,0.071482152,2.097093423,1211.695352,3.204021069,6.41438498
A1_4_7,8.362334316,32.13233646,21.61776519,27.2629656,146.9065566,1.389424649,3.693318586,27.99506679,5.952314744,2.068328251,0.029026237,1.750917813,1090.297634,1.607396333,15.4278473
A1_4_8,7.772621121,29.32806391,20.48457902,24.42624487,132.3984472,1.255643859,3.45022195,25.30571093,5.296668578,1.906695744,0.029077917000000002,1.857272322,1098.289701,1.788312309,11.813027
A1_4_9,7.469564227,29.52730776,19.56200105,28.02707788,125.7606823,1.176446259,3.255043559,23.69835,5.177740172,1.906714441,0.037082056,1.854235409,1001.464528,2.393062736,9.3748222
A1_4_10,7.441075274,33.07657543,19.97857643,36.25701079,129.6232956,0.998843913,3.337785167,23.62263005,4.921984692,1.778688442,0.034636603,1.812814744,784.8682033,1.827601778,8.8521317
A1_4_11,7.211546883,30.6585461,19.50763457,27.74323623,118.5385495,1.062561366,2.993718041,23.18271369,4.711666182,1.803958724,0.008253546,1.44192158,932.3291103,0.852872257,5.54630047
A1_4_12,7.530757717,34.05537435,20.16102448,26.76841642,126.1688965,0.944907906,3.230163509,22.85489606,4.945585707,1.769148394,0.045384395,1.768944731,1016.202399,2.913232809,8.8863263
A1_4_13,6.351985773,26.25001976,16.59263646,20.6611525,104.1595759,0.926293037,2.679780855,19.99702065,4.182390731,1.440612934,0.005793657,1.151410244,793.7128101,0.971908232,10.821524
A1_4_14,7.119264287,29.6892195,19.47776086,24.57580474,123.9956536,1.070456154,3.187470605,23.05029229,4.849826486,1.693260575,0.015166113,1.416925781,929.4913342,1.350815378,8.98383235
A1_4_15,7.264570089,29.39934492,19.18262496,22.56607252,124.9644635,0.98178996,3.221860676,22.99122395,4.989585894,1.787296907,0.030779074,1.519259395,910.9800844,2.081314978,14.5179675
