SampleN,Y_S,La_S,Ce_S,Pr_S,Nd_S,Sm_S,Eu_S,Gd_S,Tb_S,Dy_S,Ho_S,Er_S,Yb_S,Th_S,SumTS
A1_1_5,1.577869057,15.21979638,24.06614076,2.730398776,8.578833971,1.107600629,0.204132155,0.850454865,0.076698357,0.334899643,0.05415416,0.14376996,0.114289612,10.60393175,6.12953897
A1_1_6,2.317001871,14.45965031,29.43850276,2.826961883,9.484526014,1.352039837,0.272772639,1.09193494,0.1099911,0.5173431,0.084793842,0.225697558,0.179170375,15.70977928,9.2906143
A1_1_7,2.053829066,13.31676631,28.31769979,2.545542515,8.406798047,1.18693813,0.206794768,0.955408443,0.092830843,0.450426828,0.077115793,0.203014563,0.16575254,11.22137568,8.70437705
A1_1_8,1.89589201,18.92600962,29.60787446,3.370701764,10.56550874,1.356278089,0.226705781,0.986430812,0.091413589,0.405600701,0.065177912,0.179293521,0.147968324,10.3586245,3.78437703
A1_1_9,1.59705766,16.98995205,28.30763258,2.918387673,9.202694928,1.153366542,0.206444693,0.867312314,0.075779214,0.329556334,0.054301979,0.14717628,0.120370312,16.26541397,10.7154596
A1_1_10,1.76697144,18.34229771,28.1601143,3.230030978,10.20656446,1.290665341,0.211698434,0.967941663,0.086359224,0.379375872,0.060926886,0.168487544,0.134053328,14.98501747,8.89120817
A1_1_11,1.783334371,18.25853187,34.74980124,3.267925633,10.33370579,1.320311606,0.21152963,1.017769631,0.091683732,0.397527404,0.063313351,0.178222637,0.139204599,14.92492178,6.32845457
A1_1_12,2.219586093,18.49688547,36.64760876,3.41859528,10.98831308,1.488916534,0.250338947,1.125309158,0.105819169,0.484214955,0.079620844,0.220390373,0.170536042,12.02340149,7.54643674
A1_1_13,2.444617653,14.9012375,30.65039386,2.855062853,9.351800607,1.360358993,0.256563849,1.116163098,0.109837806,0.522079208,0.090729521,0.235500694,0.199061,31.53477885,3.59501882
A1_1_14,1.833794547,9.849993317,19.69645757,1.922664911,6.387214359,0.931803538,0.173852936,0.777989487,0.084619753,0.389397422,0.066564623,0.170969798,0.146864267,11.10385802,4.48556404
A1_1_15,2.02984726,12.08409648,22.51448354,2.327140317,7.676766635,1.102813978,0.219192525,0.896548472,0.092395387,0.420237134,0.06922531,0.181877658,0.153199731,15.81175347,13.4620922
A1_2_5,9.102292833,19.43085682,39.22760824,4.520134721,16.87428312,3.285330554,0.601668708,2.956352345,0.367601812,1.881157201,0.324440668,0.867426382,0.700191451,19.66499472,7.89563974
A1_2_7,9.79228907,21.57505507,43.43806622,4.913358458,18.33000149,3.487739481,0.651342199,3.184443947,0.391540713,2.02773625,0.362108757,0.939048894,0.775801498,6.633375054,14.1591278
A1_2_8,10.13401656,22.93263289,46.76173386,5.230027947,19.4612432,3.632218762,0.669300114,3.337258014,0.411970718,2.113241188,0.373658693,0.983329991,0.810097655,6.708935261,9.63754416
A1_2_9,8.667781799,19.39962077,39.43988108,4.419662462,16.23292066,3.084728915,0.571306046,2.792540375,0.348808911,1.8234299,0.319936212,0.841332844,0.70091348,11.91125526,5.04564786
A1_2_10,10.1624407,23.44980243,47.04964221,5.304813185,19.67486695,3.690945071,0.67568207,3.328489391,0.410630996,2.119580186,0.377849064,0.999656782,0.809744151,7.495256039,10.5454431
A1_2_11,9.556971341,24.04784193,48.29931139,5.308047191,19.48988948,3.570358686,0.658415211,3.24609972,0.400155434,2.027712118,0.361364336,0.950210162,0.760249868,10.3344036,11.0847348
A1_2_12,9.312608283,22.75216152,44.10805658,5.041260823,18.53776045,3.417204667,0.640807269,3.104263341,0.381442319,1.997158095,0.347916712,0.935987771,0.762440151,7.922629036,10.7952651
A1_2_13,9.773466224,26.5348407,48.71474493,5.800978204,20.89945123,3.77857441,0.682877025,3.342224562,0.408411429,2.095077171,0.3661542,0.963142592,0.783248736,7.790235397,5.7962708
A1_2_14,10.9379662,26.88753874,54.74169677,5.978970125,22.22445842,4.143007399,0.759019043,3.772053041,0.462123787,2.384451829,0.414968814,1.109203162,0.894793696,8.845559399,7.74037653
A1_2_15,9.696271477,23.11514626,48.10198102,5.161215185,19.12232729,3.582049268,0.671488733,3.278528787,0.397668545,2.054573049,0.363553963,0.959693985,0.796609275,7.196890856,5.46909972
A1_3_3,7.353466684,18.69945711,38.85222576,3.990469942,14.14789511,2.556775026,0.502920019,2.333877945,0.305846622,1.521341608,0.290267581,0.725303651,0.63562041,6.828706783,6.23947766
A1_3_5,7.286598618,17.98482121,37.98576558,3.902587085,14.09405714,2.461803907,0.46894135,2.221402667,0.276947116,1.463311066,0.261774992,0.715419274,0.608934873,6.410743847,7.24609158
A1_3_6,4.437541359,11.36185281,25.12453764,2.412861933,8.550183542,1.54102942,0.287692042,1.381317213,0.170450278,0.894176438,0.157873804,0.426995788,0.359896995,7.254773213,10.2084263
A1_3_7,6.853771063,20.33351574,36.40378962,4.316065548,15.11903013,2.56515822,0.467675435,2.218893663,0.271663728,1.382835186,0.244545838,0.660049828,0.556374394,8.164928533,9.90580186
A1_3_8,8.129504792,28.96779001,55.93100113,5.87776786,20.08042006,3.289255027,0.571362203,2.787793698,0.32097602,1.675122828,0.292837908,0.770205498,0.659523241,8.89332344,17.8071906
