SampleN,SumTS,Li_S,Be_S,Na_S,Mg_S,K_S,Ca_S,Sc_S,Ti_S,V_S,Cr_S,Mn_S,Fe_S,Co_S,Ni_S,Cu_S,Zn_S,Ga_S,Ge_S,As_S,Rb_S,Sr_S,Y_S,Zr_S,Nb_S,Mo_S,Cd_S,Sn_S,Sb_S,Cs_S,Ba_S,La_S,Ce_S,Pr_S,Nd_S,Sm_S,Eu_S,Gd_S,Tb_S,Dy_S,Ho_S,Er_S,Yb_S,Hf_S,Pb_S,Th_S,AN,AP,AK,pH,EC,NH4_N,NO3_N,N.N,TN,OM,SoilType,Longitude,Latitude,ALT_extract,Landscape,DI,GDD0,GDD5,GP,MI,MTCO,MTWA,Tmax,Tmin
Z1_1_5,3.77168863,24.33394097,0.982348841,198.1754817,10154.32379,4348.211947,37519.31349,5.03147944,682.6657493,39.4622804,33.98389063,598.1968798,29481.39639,11.64977445,28.49689522,34.17341763,42.76386377,6.902855113,1.333425127,12.53332756,33.45086378,73.70697753,11.77544784,4.402100009,1.686705466,0.457800713,0.20374905,5.659658448,0.943678517,4.917540671,156.7324602,24.04037278,49.18344166,5.442317075,20.82659637,4.078109973,0.797182721,3.693748536,0.489600096,2.526594686,0.448657825,1.177568989,0.940604648,0.150867497,19.97748358,7.515051778,271.2094,4.884564775,630.35,8.35,211.0,6.79,3.68,10.47,1609.1306,17.35702007,Clay,115.651702,33.861591,39,Flat,0.238099992,5417.100098,3795.699951,869.2000122,0.605356991,0.699999988,27.39999962,40.61999893,-17.62000084
Z1_1_6,5.03223922,24.79173304,1.111817459,221.7542699,10673.06141,4513.791924,38700.79386,5.250238662,709.4228169,40.84807708,34.87501869,620.5449716,30753.23385,12.27457749,30.52622714,35.99629583,43.6769599,7.261413252,1.381662915,12.8931426,34.28745508,75.07659845,11.9729841,4.328681865,1.74515481,0.476967354,0.208033531,5.97792011,0.855832611,5.015688145,160.5838348,24.91752948,50.55778315,5.563283197,21.37348823,4.205370519,0.821470205,3.83504436,0.508663531,2.597043313,0.451177884,1.203046477,0.981197123,0.152862796,20.34966628,7.668181854,259.182,4.386314698,708.75,8.37,248.0,5.93,4.68,10.61,2313.8346,12.49282317,Clay,115.651702,33.861591,39,Flat,0.238099992,5417.100098,3795.699951,869.2000122,0.605356991,0.699999988,27.39999962,40.61999893,-17.62000084
Z1_1_7,0.76094019,23.02794119,0.943458022,186.9780916,9945.150776,4197.847158,36356.00895,4.868723443,671.7448685,38.49893785,33.31087346,573.5396775,28423.87518,11.32426413,27.90163429,31.74120217,42.6647737,6.732525632,1.272140914,12.2851976,32.09493477,71.31405576,11.32579619,3.940985893,1.623328552,0.453142406,0.176047962,5.889388639,0.842575792,4.683988599,149.4994923,23.27978647,47.30792271,5.224075114,20.00575762,3.921982298,0.773740681,3.609132312,0.480654942,2.436214467,0.42952308,1.14651989,0.914176823,0.143572611,18.87641889,7.195466568,150.766,6.593933581,275.65,8.42,150.3,9.08,4.41,13.49,2938.0736,31.26298605,Clay,115.651702,33.861591,39,Flat,0.238099992,5417.100098,3795.699951,869.2000122,0.605356991,0.699999988,27.39999962,40.61999893,-17.62000084
Z1_1_9,4.43764244,22.41156508,0.974070757,182.4793635,9767.924202,4099.099994,35515.23363,4.920660905,641.9733556,38.0359739,33.57047593,565.5177801,28233.42798,11.10996602,28.0540276,31.72576573,40.3442218,6.74515498,1.228846373,11.86749468,31.1853692,70.27050069,11.21819222,2.719740464,1.421762396,0.429768641,0.172575285,10.08064976,0.804555173,4.5303002,150.2538573,23.22005037,47.07123381,5.175637606,19.7406354,3.840418221,0.761611729,3.538945575,0.466215058,2.392172084,0.424877462,1.129662386,0.890221152,0.091386988,18.57645909,6.880576747,267.652,4.090836526,344.4,8.53,138.5,4.58,3.26,7.84,1190.5432,16.56395299,Clay,115.651702,33.861591,39,Flat,0.238099992,5417.100098,3795.699951,869.2000122,0.605356991,0.699999988,27.39999962,40.61999893,-17.62000084
Z1_1_11,3.0814277,23.98181787,1.013727914,186.6034232,9999.902096,4254.335376,36176.35658,5.021101609,678.2977389,39.46903409,33.9775517,577.1561309,29293.75454,11.40585838,28.05419579,32.22235788,42.71041626,7.015413215,1.298276208,12.40617105,31.91596741,71.99359054,11.77827184,3.253096315,1.669320153,0.444525906,0.166562564,5.967224279,0.871872096,4.650368177,154.3777408,24.63795446,49.70658927,5.466350126,20.89716156,4.088023297,0.809493793,3.732982193,0.499317762,2.493103223,0.448251086,1.188636912,0.94884827,0.107435049,19.01550236,7.483795794,303.9036,2.698488846,653.3,8.4,240.0,7.35,6.43,13.78,1913.8812,13.68448,Clay,115.651702,33.861591,39,Flat,0.238099992,5417.100098,3795.699951,869.2000122,0.605356991,0.699999988,27.39999962,40.61999893,-17.62000084
Z1_1_12,2.33566698,26.37660449,1.027825408,200.6366879,10818.68902,4741.2596,40393.43617,5.690711221,738.5696502,43.86317206,38.37643335,651.5241489,32057.33819,12.67714784,31.66942959,36.30158583,48.89962603,7.679305014,1.457405359,13.92769596,34.86987207,80.56213128,13.15076823,4.384273718,1.897406435,0.516302258,0.229767459,6.098074287,1.057184366,5.150267592,189.2641364,26.49614642,53.79848522,5.94274473,22.73953231,4.445525173,0.892509309,4.047147393,0.540823912,2.753336449,0.499921044,1.3057542,1.043121967,0.15230436,21.94387946,8.433158969,187.5258,3.69792916,285.75,8.48,155.2,7.17,5.37,12.54,1036.5586,28.65331065,Clay,115.651702,33.861591,39,Flat,0.238099992,5417.100098,3795.699951,869.2000122,0.605356991,0.699999988,27.39999962,40.61999893,-17.62000084
Z1_1_13,1.91269051,22.00012145,0.873836637,247.3376147,9569.171527,4049.574342,35546.23621,4.820167552,637.1636431,37.85903467,32.29222155,557.2727403,28080.09938,10.97321127,26.96977149,38.70166144,45.94112387,6.689592129,1.225605067,11.9706733,31.15037735,68.8176028,11.24339077,2.812231745,2.12378875,0.588761847,0.214305818,6.595080319,0.884298236,4.501986113,145.2299624,23.25339151,47.03934119,5.222114591,19.81841285,3.920740467,0.778975918,3.562134744,0.489565767,2.407220169,0.445275117,1.136250303,0.905381233,0.139418961,18.45760788,7.01304219,327.9584,3.192083633,605.05,8.35,236.0,9.99,4.93,14.92,1913.8812,13.91681314,Clay,115.651702,33.861591,39,Flat,0.238099992,5417.100098,3795.699951,869.2000122,0.605356991,0.699999988,27.39999962,40.61999893,-17.62000084
Z1_1_14,2.92627147,20.75168013,0.96479461,192.0640328,8970.464832,3896.627467,32092.60467,4.427280613,577.1939406,35.21441837,30.63694001,515.3856647,25804.66523,10.19009961,25.43325953,34.31822108,41.0853305,6.303519562,1.099838152,10.93873022,29.11790417,63.17714828,10.13253163,1.692043341,1.455676525,0.397005305,0.171167427,5.765754581,0.639783623,4.046156449,135.0594956,21.23181772,43.07355349,4.694873098,17.98891499,3.522563432,0.700490504,3.209291083,0.425094852,2.143720025,0.383177776,1.00591605,0.794291914,0.064128948,16.89048336,5.843854031,245.63,4.387014437,249.55,8.46,149.0,5.66,3.84,9.5,1075.5206,21.90071425,Clay,115.651702,33.861591,39,Flat,0.238099992,5417.100098,3795.699951,869.2000122,0.605356991,0.699999988,27.39999962,40.61999893,-17.62000084
Z1_1_15,2.9354537,19.97243368,0.867565693,199.5192139,8402.007888,3706.311728,30462.56324,4.232851856,559.6369782,33.38012351,28.35330382,489.2454794,24600.48332,9.699982163,23.87609762,33.54241737,39.20579066,6.077132727,1.077410251,10.41883822,27.89391759,58.68922256,9.840995258,2.695467338,1.507133445,0.397012225,0.179425475,5.536859348,0.717258131,3.969706789,131.277792,20.75136912,41.97504852,4.634010477,17.65497874,3.489616883,0.673158952,3.136072884,0.417498584,2.114004838,0.382708481,0.977026546,0.779918849,0.097541218,17.03387939,5.972102245,271.2094,7.191657677,299.4,8.43,150.3,3.83,5.18,9.01,1183.9366,12.97814335,Clay,115.651702,33.861591,39,Flat,0.238099992,5417.100098,3795.699951,869.2000122,0.605356991,0.699999988,27.39999962,40.61999893,-17.62000084
Z1_2_6,2.75958693,20.83101753,0.970557709,246.0687069,8467.01044,3605.827202,29707.59178,4.513914677,540.0093332,34.13319632,29.68270258,488.7530389,24011.02991,9.922257212,24.48071868,36.61826861,39.00115746,6.035761563,1.94724422,10.82955576,27.04028558,61.918733,10.15289406,3.607935038,1.454622756,0.751350024,0.1390191,5.627683141,0.701408743,3.74791962,130.4851453,19.67353859,40.19882909,4.732277436,17.82887348,3.538492464,0.689466442,3.282938556,0.430810009,2.223209261,0.392498819,1.042610279,0.826585491,0.133652793,16.72050121,6.265996556,167.0284,3.89672675,260.45,8.37,141.8,5.82,5.51,11.33,1197.4886,18.07746327,Clay,115.671164,33.771275,39,Flat,0.229860008,5447.799805,3817.699951,871.7000122,0.611883998,0.800000012,27.39999962,40.72000122,-17.64999962
