SampleN,SumTS,Li_S,Be_S,Na_S,Mg_S,K_S,Ca_S,Sc_S,Ti_S,V_S,Cr_S,Mn_S,Fe_S,Co_S,Ni_S,Cu_S,Zn_S,Ga_S,Ge_S,As_S,Rb_S,Sr_S,Y_S,Zr_S,Nb_S,Mo_S,Cd_S,Sn_S,Sb_S,Cs_S,Ba_S,La_S,Ce_S,Pr_S,Nd_S,Sm_S,Eu_S,Gd_S,Tb_S,Dy_S,Ho_S,Er_S,Yb_S,Hf_S,Pb_S,Th_S,AN,AP,AK,pH,EC,NH4_N,NO3_N,N.N,TN,OM,SoilType,Longitude,Latitude,ALT_extract,Landscape,DI,GDD0,GDD5,GP,MI,MTCO,MTWA,Tmax,Tmin
B2_2_8,0.86013661,31.265,1.1005,466.7305,7125.0,3074.0,4905.5,7.9155,1474.0,65.991,44.2065,468.0,25910.5,10.9395,24.3185,20.131,58.42,13.5835,4.201,7.519,40.6015,30.143,13.4435,7.107,4.9485,0.7195,0.197,2.921,0.2475,2.886,126.1785,27.03,56.964,6.217,23.9535,4.411,0.735,3.644,0.453,2.5755,0.4465,1.2715,1.056,0.146,10.782,7.09,115.5,34.48,72.32,7.35,59.3,,,,,,Sandy,114.430339,38.339387,108,Flat,0.446932971,4889.100098,3489.699951,844.5999756,0.436717987,-2.799999952,26.70000076,42.72000122,-20.21999931
B2_2_9,2.53586201,28.21,1.286,607.5655,7031.0,3851.5,4948.0,8.4605,1509.0,66.4505,46.6685,442.0,25208.0,10.9355,24.196,17.657,64.973,14.3825,4.328,7.3375,45.8485,32.256,13.8305,9.185,3.9095,0.614,0.1725,2.9805,0.4835,2.914,134.9025,28.202,59.3435,6.5285,25.038,4.603,0.77,3.6915,0.464,2.6605,0.467,1.3365,1.1365,0.279,9.946,6.874,140.14,51.86,139.27,6.2,64.6,,,,,,Sandy,114.430339,38.339387,108,Flat,0.446932971,4889.100098,3489.699951,844.5999756,0.436717987,-2.799999952,26.70000076,42.72000122,-20.21999931
B2_2_10,0.81259666,29.555,1.0605,519.1835,7660.0,3817.5,5542.5,7.854,1529.5,62.448,44.2035,492.0,26450.5,10.5935,24.733,17.948,62.605,13.869,4.108,7.409,43.3835,34.618,13.204,8.7345,4.813,0.6235,0.1815,2.8295,0.215,2.959,131.3385,29.749,65.202,6.8095,25.9765,4.6355,0.774,3.696,0.4575,2.556,0.4465,1.275,1.0645,0.2535,10.2325,9.815,69.3,26.19,83.4,7.47,60.4,,,,,,Sandy,114.430339,38.339387,108,Flat,0.446932971,4889.100098,3489.699951,844.5999756,0.436717987,-2.799999952,26.70000076,42.72000122,-20.21999931
B2_2_11,1.20238711,31.4635,1.5935,589.2165,7253.5,3687.0,5315.5,8.628,1696.5,70.3325,46.312,485.0,28877.0,11.421,24.874,18.6165,62.494,15.672,5.0185,7.665,44.1265,34.4965,14.2415,9.969,4.939,0.615,0.1895,3.0655,0.2145,2.9355,131.6545,34.3415,70.922,7.754,29.387,5.147,0.799,4.0525,0.4985,2.727,0.4725,1.341,1.1215,0.286,10.253,9.9835,92.4,29.35,104.42,7.32,61.1,,,,,,Sandy,114.430339,38.339387,108,Flat,0.446932971,4889.100098,3489.699951,844.5999756,0.436717987,-2.799999952,26.70000076,42.72000122,-20.21999931
B2_2_12,2.93275107,27.8825,1.213,475.2035,7344.0,3368.5,5276.0,7.401,1585.0,62.969,41.7535,479.5,29583.5,10.195,22.5695,16.608,55.559,13.297,4.2585,6.8645,37.956,31.8685,12.4575,8.194,4.4475,0.579,0.161,2.7295,0.16,2.6395,114.6895,27.154,57.6285,6.237,23.825,4.281,0.685,3.464,0.43,2.3975,0.416,1.1745,0.971,0.215,9.1595,7.1155,78.54,25.31,81.16,7.16,56.9,,,,,,Sandy,114.430339,38.339387,108,Flat,0.446932971,4889.100098,3489.699951,844.5999756,0.436717987,-2.799999952,26.70000076,42.72000122,-20.21999931
B2_2_13,2.57547244,34.381,1.3905,562.1845,8462.5,3910.5,6136.0,7.7435,1778.0,63.8065,44.368,568.0,31296.0,10.667,23.8725,17.323,59.2315,16.231,5.0795,7.8615,41.436,32.442,17.044,8.078,5.024,2.8235,0.1855,2.9145,0.205,2.9685,130.39,41.706,87.8855,9.212,34.7815,6.171,0.9905,4.874,0.597,3.301,0.5695,1.5855,1.244,0.192,12.3295,19.229,98.56,25.21,64.0,7.36,54.4,,,,,,Sandy,114.430339,38.339387,108,Flat,0.446932971,4889.100098,3489.699951,844.5999756,0.436717987,-2.799999952,26.70000076,42.72000122,-20.21999931
B2_2_14,1.98345004,30.039,1.2685,666.2405,7088.0,3116.0,5755.5,8.424,1582.0,72.58,48.8395,457.0,25908.5,10.925,24.838,16.5035,56.0185,16.046,5.4265,7.7015,42.1705,31.416,22.494,9.4625,5.855,0.611,0.1965,3.8365,0.278,2.744,125.965,35.5495,75.575,8.559,33.94,6.665,0.9475,5.7115,0.752,4.382,0.757,2.1295,1.639,0.2965,9.6805,7.08,115.5,25.11,67.46,5.92,50.9,,,,,,Sandy,114.430339,38.339387,108,Flat,0.446932971,4889.100098,3489.699951,844.5999756,0.436717987,-2.799999952,26.70000076,42.72000122,-20.21999931
B2_2_15,0.80849201,33.0355,1.346,521.813,7283.5,3249.0,4934.5,7.595,1525.5,63.321,44.329,475.5,26376.5,10.7195,23.6335,19.3535,62.3365,13.435,4.2675,7.4395,38.551,30.236,14.0725,7.165,5.241,0.649,0.213,2.8885,0.237,2.782,124.9575,27.2275,56.793,6.2045,23.622,4.3505,0.749,3.599,0.455,2.6115,0.464,1.3485,1.1775,0.1475,10.603,6.9595,133.98,34.09,99.48,7.47,63.9,,,,,,Sandy,114.430339,38.339387,108,Flat,0.446932971,4889.100098,3489.699951,844.5999756,0.436717987,-2.799999952,26.70000076,42.72000122,-20.21999931
B2_3_1,3.92223082,30.3885,1.482,363.609,10732.0,4654.0,13807.5,6.8365,1870.0,63.4785,48.5395,614.0,38272.0,11.12,26.498,20.043,75.4055,17.8585,6.29,10.235,37.3275,35.3115,17.434,9.43,4.529,0.5445,0.169,2.828,0.313,3.6585,135.372,60.888,129.999,14.2245,52.641,9.1215,1.4075,7.3,0.8745,4.431,0.727,1.885,1.3715,0.2615,12.461,15.0525,83.16,17.8,131.06,7.82,169.6,,,,,,Sandy,114.296391,38.514041,176,Flat,0.423815012,4716.399902,3344.100098,829.4000244,0.455303997,-3.299999952,26.10000038,42.29000092,-20.62000084
B2_3_2,1.99140431,33.6195,1.162,323.7035,11185.5,4414.0,12054.5,7.613,1804.0,73.0955,55.6775,590.5,39704.5,12.938,29.2895,21.4385,85.6355,16.8075,5.9045,9.8115,39.0075,35.88,15.535,8.3595,4.939,0.5755,0.1845,2.676,0.2725,3.782,139.9655,50.3785,107.7355,12.03,44.706,7.828,1.323,6.368,0.763,3.8845,0.641,1.6655,1.2235,0.1915,13.774,12.7245,69.3,20.77,112.67,7.88,147.2,,,,,,Sandy,114.296391,38.514041,176,Flat,0.423815012,4716.399902,3344.100098,829.4000244,0.455303997,-3.299999952,26.10000038,42.29000092,-20.62000084
