SampleN,SumTS,Li_S,Be_S,Na_S,Mg_S,K_S,Ca_S,Sc_S,Ti_S,V_S,Cr_S,Mn_S,Fe_S,Co_S,Ni_S,Cu_S,Zn_S,Ga_S,Ge_S,As_S,Rb_S,Sr_S,Y_S,Zr_S,Nb_S,Mo_S,Cd_S,Sn_S,Sb_S,Cs_S,Ba_S,La_S,Ce_S,Pr_S,Nd_S,Sm_S,Eu_S,Gd_S,Tb_S,Dy_S,Ho_S,Er_S,Yb_S,Hf_S,Pb_S,Th_S,AN,AP,AK,pH,EC,NH4_N,NO3_N,N.N,TN,OM,SoilType,Longitude,Latitude,ALT_extract,Landscape,DI,GDD0,GDD5,GP,MI,MTCO,MTWA,Tmax,Tmin
A1_1_5,6.12953897,3.256671459,0.368974445,277.9203362,643.4366264,889.3820208,893.9115994,0.666163599,94.43142274,5.752392436,4.899917418,51.44587592,4723.435309,1.345628733,2.785994505,9.814316017,19.04116153,2.030251267,0.48831395,1.152607906,9.816489611,3.451048828,1.577869057,2.096759925,0.003106962,0.152124224,0.69428545,3.456331326,0.100886433,1.138911526,23.73998729,15.21979638,24.06614076,2.730398776,8.578833971,1.107600629,0.204132155,0.850454865,0.076698357,0.334899643,0.05415416,0.14376996,0.114289612,0.037382105,9.468018687,10.60393175,213.444,3.998880314,6.85,7.41,40.8,12.7,6.27,18.97,518.0252,24.04463387,Roam,117.7015533,36.34113333,256,Flat,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053
A1_1_6,9.2906143,4.207117757,0.291584442,193.2357613,834.557504,834.8562782,1000.670942,0.833247364,117.8195904,7.553073443,5.770936362,64.57306829,5703.190559,1.720476117,3.462462455,9.664362479,16.58076143,2.263547345,0.512493159,1.568754687,9.948900383,3.983011805,2.317001871,2.096630033,0.047108135,0.137034381,0.289723395,3.410863967,0.134290889,1.26927632,26.2479305,14.45965031,29.43850276,2.826961883,9.484526014,1.352039837,0.272772639,1.09193494,0.1099911,0.5173431,0.084793842,0.225697558,0.179170375,0.031454504,8.332106035,15.70977928,147.378,4.997800968,39.0,7.49,32.4,19.11,10.14,29.25,511.7574,11.7435038,Roam,117.7015533,36.34113333,256,Flat,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053
A1_1_7,8.70437705,4.244250073,0.264469505,187.2065307,901.0270465,896.6154317,1068.393255,0.963081195,135.9302915,8.828873335,7.138182453,63.38550099,6416.244907,1.899481197,4.377605781,10.43790548,19.92605508,2.408211482,0.52015565,1.826046078,10.31833924,3.798482477,2.053829066,0.865120073,0.094031127,0.16459463,3.872319661,4.111149599,0.141319169,1.318829452,28.00488977,13.31676631,28.31769979,2.545542515,8.406798047,1.18693813,0.206794768,0.955408443,0.092830843,0.450426828,0.077115793,0.203014563,0.16575254,0.009869331,10.77038714,11.22137568,214.291,1.699932003,47.2,7.29,39.7,15.34,4.91,20.25,770.9394,12.94439194,Roam,117.7015533,36.34113333,256,Flat,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053
A1_1_8,3.78437703,4.383214086,0.29986282,282.5339971,782.8913119,1007.252138,1180.242533,0.725426045,114.3003164,7.139984585,5.765378949,55.61626316,5607.499786,1.479005718,4.480906914,8.426232576,25.65585067,2.345750645,0.518948521,1.444662104,11.36304613,4.040257694,1.89589201,2.06830484,0.021869318,0.145818108,0.610159259,4.251917035,0.12293758,1.36907593,25.18329407,18.92600962,29.60787446,3.370701764,10.56550874,1.356278089,0.226705781,0.986430812,0.091413589,0.405600701,0.065177912,0.179293521,0.147968324,0.037990866,11.02118919,10.3586245,149.072,3.1,45.35,7.29,58.5,13.64,2.64,16.28,550.7194,15.10423057,Roam,117.7015533,36.34113333,256,Flat,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053
A1_1_9,10.7154596,3.265780446,0.338156233,285.5430539,700.2362602,925.0864456,1080.295083,0.678094644,87.06079721,5.957935177,5.017303306,47.66077255,5141.003078,1.21143497,2.958331705,6.297977252,18.03766957,2.286445365,0.476230002,1.148270267,10.07505535,3.937054228,1.59705766,3.620569992,0.003106962,0.154452634,0.880421061,4.479323244,0.127514731,1.151923627,24.62307276,16.98995205,28.30763258,2.918387673,9.202694928,1.153366542,0.206444693,0.867312314,0.075779214,0.329556334,0.054301979,0.14717628,0.120370312,0.081766578,10.99147704,16.26541397,214.291,2.5,15.65,7.2,36.7,13.77,7.64,21.41,466.0194,20.22424341,Roam,117.7015533,36.34113333,256,Flat,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053
A1_1_10,8.89120817,3.796276616,0.341446834,223.2615244,666.5210288,832.3988165,1151.447618,0.619858629,104.2282243,6.516024984,4.829580419,48.82571076,5287.969023,1.223691329,2.743297756,8.826129527,18.65410112,2.179827541,0.504060324,1.241907777,9.835779682,3.46036186,1.76697144,2.606731743,0.003106962,0.15945126,0.301574375,3.72654282,0.118185877,1.146152569,22.47799225,18.34229771,28.1601143,3.230030978,10.20656446,1.290665341,0.211698434,0.967941663,0.086359224,0.379375872,0.060926886,0.168487544,0.134053328,0.053448258,10.31080441,14.98501747,145.684,0.99980004,5.15,7.29,33.6,14.85,4.13,18.98,466.0194,16.14685532,Roam,117.7015533,36.34113333,256,Flat,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053
A1_1_11,6.32845457,3.743036565,0.333410938,196.1301031,794.9237864,898.9732674,1335.095718,0.764966653,115.474449,7.251451798,5.166099177,60.60778259,5970.217116,1.64636065,3.140509626,9.375585559,15.96045557,2.483193411,0.570058118,1.518160649,11.37837024,3.779345681,1.783334371,2.380875832,0.031803807,0.24361814,0.20051016,3.815447644,0.131907506,1.390041384,25.83649801,18.25853187,34.74980124,3.267925633,10.33370579,1.320311606,0.21152963,1.017769631,0.091683732,0.397527404,0.063313351,0.178222637,0.139204599,0.042857271,11.86758775,14.92492178,162.624,3.788936306,15.2,7.43,36.7,16.11,10.09,26.2,1013.1814,14.57079863,Roam,117.7015533,36.34113333,256,Flat,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053
A1_1_12,7.54643674,6.090832094,0.510749058,226.0637564,1107.460213,1192.805005,1698.032874,1.239439926,177.0019397,10.41664973,8.426754407,62.67027851,8286.136823,1.721836446,4.923152751,7.865804338,19.90973953,3.219197581,0.717546958,1.930784198,15.49348856,5.39907355,2.219586093,4.015787583,0.086538091,0.195042395,0.505418035,4.961625511,0.160805018,2.040238056,35.42241106,18.49688547,36.64760876,3.41859528,10.98831308,1.488916534,0.250338947,1.125309158,0.105819169,0.484214955,0.079620844,0.220390373,0.170536042,0.106291221,13.81346522,12.02340149,145.684,1.295388417,32.25,7.45,40.4,7.9,30.92,38.82,401.6474,19.50590767,Roam,117.7015533,36.34113333,256,Flat,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053
A1_1_13,3.59501882,4.82572342,0.286828721,272.7481824,911.7414178,1047.447716,1770.460325,0.951168896,142.3085523,9.849488704,8.028125412,76.87020292,7049.992449,2.058944976,4.716534525,9.022582148,18.63908443,2.603335322,0.597039587,1.867866189,11.4975613,4.636062472,2.444617653,2.625696298,0.079318659,0.172643823,0.289433518,4.792433689,0.152687275,1.369946192,31.61054885,14.9012375,30.65039386,2.855062853,9.351800607,1.360358993,0.256563849,1.116163098,0.109837806,0.522079208,0.090729521,0.235500694,0.199061,0.063842443,11.61188452,31.53477885,214.291,1.196172249,3.45,7.19,34.7,10.85,4.59,15.44,537.1674,7.50428229,Roam,117.7015533,36.34113333,256,Flat,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053
A1_1_14,4.48556404,3.172514074,0.195239874,205.0036383,706.5720181,797.383678,1776.444266,0.724359639,109.6431341,7.249575246,5.894002493,60.44913477,5120.14252,1.61434694,3.499878541,8.553003156,19.67389531,1.818618467,0.394903082,1.360728879,8.456914215,3.812616779,1.833794547,1.226723757,0.009320887,0.108075274,0.324705153,3.840757272,0.116783967,0.938745146,25.651007,9.849993317,19.69645757,1.922664911,6.387214359,0.931803538,0.173852936,0.777989487,0.084619753,0.389397422,0.066564623,0.170969798,0.146864267,0.015844486,7.042029144,11.10385802,198.198,4.587155963,17.05,7.55,34.3,9.66,6.0,15.66,469.4074,14.23104576,Roam,117.7015533,36.34113333,256,Flat,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053
