SampleN,SumTS,Li_S,Be_S,Na_S,Mg_S,K_S,Ca_S,Sc_S,Ti_S,V_S,Cr_S,Mn_S,Fe_S,Co_S,Ni_S,Cu_S,Zn_S,Ga_S,Ge_S,As_S,Rb_S,Sr_S,Y_S,Zr_S,Nb_S,Mo_S,Cd_S,Sn_S,Sb_S,Cs_S,Ba_S,La_S,Ce_S,Pr_S,Nd_S,Sm_S,Eu_S,Gd_S,Tb_S,Dy_S,Ho_S,Er_S,Yb_S,Hf_S,Pb_S,Th_S,AN,AP,AK,pH,EC,NH4_N,NO3_N,N.N,TN,OM,SoilType,Longitude,Latitude,ALT_extract,Landscape,DI,GDD0,GDD5,GP,MI,MTCO,MTWA,Tmax,Tmin
D1_1_1,3.09074293,27.7425,1.1785,291.3485,13127.5,6789.5,62952.0,6.5515,1508.5,53.553,39.942,699.0,32537.5,10.588,27.0,18.1685,83.697,11.574,3.7735,14.1915,42.662,115.8155,13.959,7.7935,4.087,0.893,0.222,2.7835,0.856,5.7565,189.7375,33.9055,70.837,7.8315,29.9615,5.853,1.0635,4.9525,0.629,3.4055,0.594,1.614,1.331,0.2265,18.6205,11.5665,267.652,2.298437063,78.6,8.37,158.1,4.66,5.3,9.96,838.3606,11.02479972,Roam,110.59868,34.720793,673,Flat,0.417946994,4527.600098,3108.5,811.5999756,0.462357014,-1.899999976,24.89999962,39.00999832,-17.87000084
D1_1_2,3.4245826,23.6135,1.0135,209.4185,10914.0,4467.0,54493.0,4.997,1055.5,43.355,33.143,571.0,27255.0,9.733,24.632,16.8475,93.8985,9.7485,3.202,12.843,32.566,100.933,11.9405,3.424,3.2175,0.849,0.238,2.8275,1.0285,4.8625,156.781,29.232,60.957,6.882,26.4975,5.2015,0.941,4.3585,0.556,2.9215,0.516,1.37,1.12,0.2725,17.2545,9.623,50.05,22.35,331.99,8.43,148.9,,,,,,Roam,110.59868,34.720793,673,Flat,0.417946994,4527.600098,3108.5,811.5999756,0.462357014,-1.899999976,24.89999962,39.00999832,-17.87000084
D1_1_3,6.45916733,42.5315,1.48,448.467,14973.5,9222.5,62366.5,8.95,1149.0,70.4635,50.816,810.0,34642.5,12.57,31.301,22.3725,73.3025,14.1475,4.524,15.7335,53.4815,154.3655,16.3955,12.36,4.438,1.043,0.7605,3.0095,0.697,6.129,209.6555,35.851,74.358,8.191,31.035,6.01,1.078,5.0205,0.6405,3.4335,0.6015,1.648,1.3685,0.257,16.8655,11.6215,53.9,23.43,473.68,8.59,167.0,,,,,,Roam,110.59868,34.720793,673,Flat,0.417946994,4527.600098,3108.5,811.5999756,0.462357014,-1.899999976,24.89999962,39.00999832,-17.87000084
D1_1_4,2.52562148,32.6545,1.4445,355.908,12643.5,7697.0,58132.5,7.6125,1500.5,62.177,45.1315,655.5,31162.0,10.941,27.389,19.207,68.3795,12.579,3.8815,14.1275,50.3365,122.8645,14.79,13.02,4.602,0.8215,0.335,3.081,0.631,5.953,206.961,34.5735,71.952,7.9685,30.578,5.9855,1.1105,5.0525,0.6515,3.5095,0.6235,1.712,1.42,0.381,18.5985,11.88,56.98,20.67,274.58,8.4,139.6,,,,,,Roam,110.59868,34.720793,673,Flat,0.417946994,4527.600098,3108.5,811.5999756,0.462357014,-1.899999976,24.89999962,39.00999832,-17.87000084
D1_1_5,2.59008023,35.679,1.5225,419.036,13131.5,7979.5,60443.5,8.4205,1580.5,68.1695,48.634,697.5,32620.0,11.686,28.9225,18.7495,65.8195,13.9265,4.1875,14.2525,54.178,124.7765,15.961,15.797,4.829,0.8055,0.228,3.182,0.56,6.2995,223.615,37.336,78.9315,8.6615,33.2915,6.405,1.1675,5.4505,0.699,3.7795,0.6735,1.8315,1.5135,0.4785,18.671,12.948,49.28,20.96,256.13,8.32,136.2,,,,,,Roam,110.59868,34.720793,673,Flat,0.417946994,4527.600098,3108.5,811.5999756,0.462357014,-1.899999976,24.89999962,39.00999832,-17.87000084
D1_1_6,3.2900164,31.4285,1.2125,377.2285,12533.0,8185.5,59581.0,7.645,1547.5,62.016,44.5715,655.0,31317.0,10.4715,27.124,17.6965,69.5955,13.066,3.948,13.5995,51.9095,116.6945,14.609,14.677,4.236,0.828,0.205,3.037,0.626,6.069,216.355,35.3915,74.208,8.158,31.1725,6.0485,1.088,5.1305,0.6505,3.516,0.624,1.694,1.411,0.524,17.625,12.1335,40.04,16.32,222.17,8.42,132.9,,,,,,Roam,110.59868,34.720793,673,Flat,0.417946994,4527.600098,3108.5,811.5999756,0.462357014,-1.899999976,24.89999962,39.00999832,-17.87000084
D1_1_7,1.18214422,41.2955,1.57,427.441,13420.5,8598.5,57090.0,8.6105,1100.5,67.697,49.1105,739.5,32042.5,11.5815,28.8935,19.2275,63.455,13.6795,4.2705,14.392,52.3945,123.986,15.2935,14.011,4.143,0.838,0.211,3.044,1.021,5.8465,202.74,34.177,70.553,7.6965,29.262,5.6045,1.0135,4.6885,0.596,3.225,0.5655,1.5665,1.317,0.366,15.48,11.129,18.48,22.15,228.61,8.49,126.3,,,,,,Roam,110.59868,34.720793,673,Flat,0.417946994,4527.600098,3108.5,811.5999756,0.462357014,-1.899999976,24.89999962,39.00999832,-17.87000084
D1_1_8,1.52138023,32.272,1.0905,319.719,12296.5,6970.5,57249.5,7.2335,1449.0,58.625,43.037,653.0,30708.5,10.7155,27.2165,17.65,60.6765,12.171,3.807,13.355,45.7335,112.092,14.3725,12.5535,4.6215,0.7665,0.226,3.7365,0.5565,5.6595,190.705,33.999,71.1635,7.81,29.972,5.7725,1.05,4.94,0.6315,3.425,0.6015,1.633,1.3615,0.345,17.431,12.236,121.968,0.698881789,49.22,8.39,157.0,5.7,4.62,10.32,841.5792,14.15172238,Roam,110.59868,34.720793,673,Flat,0.417946994,4527.600098,3108.5,811.5999756,0.462357014,-1.899999976,24.89999962,39.00999832,-17.87000084
D1_1_9,2.72126498,39.442,1.615,483.2155,6258.0,6085.5,6150.0,9.2655,1760.0,71.2855,51.0255,518.0,28564.5,11.4495,28.4565,19.0685,64.7695,14.8915,4.317,14.995,58.7895,124.4045,15.82,14.6555,3.253,0.84,0.2175,3.056,1.118,6.0445,223.5855,37.267,76.2615,8.3645,31.444,5.977,1.0445,4.95,0.6265,3.3595,0.5845,1.6045,1.3355,0.4165,15.7755,11.881,267.652,1.497783281,56.4,8.37,159.4,4.88,5.09,9.97,860.3826,12.52998958,Roam,110.59868,34.720793,673,Flat,0.417946994,4527.600098,3108.5,811.5999756,0.462357014,-1.899999976,24.89999962,39.00999832,-17.87000084
D1_1_10,4.57951982,43.145,1.6545,442.2705,14973.0,9601.0,61902.0,9.359,1207.0,73.112,53.2705,824.0,35470.0,12.52,31.201,20.4565,72.422,15.025,4.53,15.9855,57.7965,130.7845,16.6285,12.643,3.582,0.8585,0.579,25.3355,1.501,6.3465,219.722,37.6865,78.2645,8.6055,32.6045,6.234,1.111,5.1515,0.65,3.471,0.6055,1.648,1.36,0.2975,17.6885,12.0075,41.58,15.44,266.79,8.31,154.4,,,,,,Roam,110.59868,34.720793,673,Flat,0.417946994,4527.600098,3108.5,811.5999756,0.462357014,-1.899999976,24.89999962,39.00999832,-17.87000084
