SampleN,SumTS,Li_S,Be_S,Na_S,Mg_S,K_S,Ca_S,Sc_S,Ti_S,V_S,Cr_S,Mn_S,Fe_S,Co_S,Ni_S,Cu_S,Zn_S,Ga_S,Ge_S,As_S,Rb_S,Sr_S,Y_S,Zr_S,Nb_S,Mo_S,Cd_S,Sn_S,Sb_S,Cs_S,Ba_S,La_S,Ce_S,Pr_S,Nd_S,Sm_S,Eu_S,Gd_S,Tb_S,Dy_S,Ho_S,Er_S,Yb_S,Hf_S,Pb_S,Th_S,AN,AP,AK,pH,EC,NH4_N,NO3_N,N.N,TN,OM,SoilType,Longitude,Latitude,ALT_extract,Landscape,DI,GDD0,GDD5,GP,MI,MTCO,MTWA,Tmax,Tmin
F1_1_6,5.58425242,7.894583667,0.530569056,163.1381548,2327.189803,1571.770781,8316.843362,2.115668912,184.1727654,18.45645998,15.26695842,180.437194,13552.59227,5.756931284,13.362816,37.7326467,31.97121206,3.580484538,0.60244623,4.158223196,13.92150105,18.95179601,6.561460269,0.766039504,0.674565042,0.225106407,0.229835354,3.234654043,0.352030042,1.815215549,93.1851334,12.34503884,26.31539436,3.068457488,12.07551053,2.46174671,0.513221086,2.271530687,0.289413488,1.457101117,0.250428459,0.643617336,0.477061154,0.020493995,12.74097259,3.194474034,323.554,26.90851106,119.6,7.49,329.0,5.76,7.91,13.67,2454.4366,20.05263984,Clay,104.617688,30.933302,461,Flat,0.358521998,5976.700195,4151.700195,821.4000244,0.503602028,5.599999905,25.70000076,37.65999985,-4.809999943
F1_1_7,0.37251712,11.5203461,0.701464349,202.1739524,3497.671283,2447.543398,15177.34395,3.231652835,290.0261001,28.34896354,23.7236629,275.0360258,20336.32921,8.669232624,19.58011461,35.40755575,52.68569174,5.40039598,0.94887783,6.066967368,20.6509297,30.50074553,10.05805484,1.182707179,1.036565934,0.397956708,0.380026878,4.920620477,0.599220478,2.700621599,134.0519304,19.40302125,40.82019592,4.810543291,18.94633492,3.803452266,0.801551664,3.456505421,0.443523832,2.24268814,0.391898799,0.992618202,0.743675185,0.039070795,20.2726249,5.106487186,326.2644,42.54044338,175.65,7.55,395.0,5.66,17.81,23.47,2378.7148,29.04872532,Clay,104.617688,30.933302,461,Flat,0.358521998,5976.700195,4151.700195,821.4000244,0.503602028,5.599999905,25.70000076,37.65999985,-4.809999943
F1_1_8,2.919461,9.268511886,0.557882566,167.9814016,2799.801324,1629.42654,13163.17198,2.359262277,128.6836454,19.34470177,16.75789783,225.0514266,14886.85364,6.805446432,15.12590582,34.55569478,42.1878458,3.850049653,0.721429722,4.377452879,13.11259065,23.05056273,7.711610292,1.233996792,0.440824005,0.255840271,0.290779979,1.019223342,0.155683041,1.756017994,101.4377607,13.81282138,29.6178754,3.429688802,13.58061413,2.780541086,0.591151831,2.531528645,0.33527828,1.669580211,0.289678985,0.740844574,0.573840979,0.031401919,15.33685676,4.085545097,245.63,32.23552894,183.1,7.67,284.0,4.74,11.62,16.36,2185.0906,20.38913706,Clay,104.617688,30.933302,461,Flat,0.358521998,5976.700195,4151.700195,821.4000244,0.503602028,5.599999905,25.70000076,37.65999985,-4.809999943
F1_1_9,10.4654534,11.82101824,0.679751878,140.5660553,2876.269699,1788.568236,5844.958024,2.799186257,230.6250522,22.93351074,20.99377326,221.2931441,16409.01275,7.012096203,16.29283465,29.96460453,29.73890161,4.393021065,1.242174353,5.602028061,16.39357937,16.57264791,8.121149711,1.577660318,1.102390881,0.678801798,0.261993976,4.372868301,0.483733698,2.231840454,102.6425637,15.01431394,31.29617894,3.911858114,15.02831481,3.109135668,0.680685872,2.914209326,0.420794138,1.863067493,0.378027449,0.86216933,0.672488036,0.093991607,14.16965927,4.490290198,271.2094,14.6,121.65,7.77,172.6,4.08,7.8,11.88,1831.214,20.25423466,Clay,104.617688,30.933302,461,Flat,0.358521998,5976.700195,4151.700195,821.4000244,0.503602028,5.599999905,25.70000076,37.65999985,-4.809999943
F1_1_10,6.8343158,11.53700057,0.701441132,164.9083009,2944.525074,1535.464146,13224.17844,2.767667233,223.8743992,22.18727593,18.59102656,216.2534958,15997.6881,6.938264212,15.8413871,31.0637272,27.70027618,4.417883613,1.085111298,4.902751916,15.43898105,26.60352863,7.709081071,2.155862305,0.86701181,0.220111291,0.17483901,3.626729891,0.401025967,2.196420422,106.7476909,13.89836614,29.37328818,3.581361614,13.98672961,2.904112698,0.617627699,2.712675538,0.351100424,1.739610012,0.303579961,0.778411957,0.596472283,0.069002061,13.64222716,4.383187492,225.302,11.16516469,108.95,7.78,241.0,5.52,13.6,19.12,1793.7766,21.41868134,Clay,104.617688,30.933302,461,Flat,0.358521998,5976.700195,4151.700195,821.4000244,0.503602028,5.599999905,25.70000076,37.65999985,-4.809999943
F1_1_11,2.67242294,9.294947606,0.586401789,144.7366338,2453.288861,1465.52265,7564.67443,2.204534197,181.2116484,18.53582487,15.76463397,185.594853,12976.46311,5.66121816,13.11437797,26.3061232,30.04789786,3.570359431,0.928530723,4.151543032,13.55168253,17.95897099,6.41084809,0.634966505,0.643429978,0.093915303,0.249147317,2.950079629,0.325992957,1.744041267,93.74427969,11.7036705,24.2123026,2.995817157,11.67726398,2.400959936,0.503557042,2.205340242,0.27831469,1.42346851,0.246247766,0.637730375,0.484664231,0.019578251,12.58745467,2.889299612,322.8764,23.68957659,101.3,7.71,234.0,8.39,8.81,17.2,2024.1606,20.12213495,Clay,104.617688,30.933302,461,Flat,0.358521998,5976.700195,4151.700195,821.4000244,0.503602028,5.599999905,25.70000076,37.65999985,-4.809999943
F1_1_12,3.94672949,10.80780189,0.525684298,157.7209589,2865.996132,1731.669998,7801.179309,2.558151723,218.0264006,21.19085395,17.53951121,198.5061274,14934.52974,6.594800621,14.97447098,24.57030675,35.38417476,4.006026342,1.02371074,4.523284271,15.59744555,18.70501356,7.412345458,0.88647617,0.788053061,0.116130099,0.282653932,3.445918011,0.439724443,2.00284818,99.24400001,13.25571179,27.40207233,3.359396877,13.14606723,2.681162106,0.566785074,2.549736662,0.324438317,1.642004908,0.289711029,0.73485602,0.566312203,0.030892915,16.67046961,3.672602434,282.898,34.86513487,120.4,8.01,229.0,7.18,13.75,20.93,2259.6266,13.09383344,Clay,104.617688,30.933302,461,Flat,0.358521998,5976.700195,4151.700195,821.4000244,0.503602028,5.599999905,25.70000076,37.65999985,-4.809999943
F1_1_13,2.31724857,9.435057208,0.543742632,181.20677,2753.489125,1792.459178,8443.92665,2.374485881,203.7629915,19.92344518,16.60717364,204.0711251,13908.17645,6.138107996,13.95644761,29.19518708,42.05787242,3.859556937,0.947166235,4.346378408,14.53422943,21.13894214,7.137146718,0.434273153,0.692731142,0.074585,0.30887353,3.428049274,0.384586586,1.809354321,117.2379706,12.63755562,25.36745533,3.182342821,12.39596732,2.535707522,0.547583033,2.37362154,0.30209818,1.54500237,0.271860286,0.697354664,0.539663585,0.016400418,16.00372731,2.664894402,303.9036,19.85473121,127.35,8.23,194.0,4.13,7.46,11.59,2289.2716,19.91831999,Clay,104.617688,30.933302,461,Flat,0.358521998,5976.700195,4151.700195,821.4000244,0.503602028,5.599999905,25.70000076,37.65999985,-4.809999943
F1_1_14,4.58188453,10.37178552,0.690266621,142.413062,3121.394807,1709.027784,7304.644338,2.824333563,149.4077519,22.07410157,18.39388924,226.9214534,15983.08179,7.021489704,16.1369715,27.53141386,29.94959679,4.194857322,1.175911126,4.955806318,15.17940156,16.9999255,7.666218135,2.386994381,0.438222372,0.056309412,0.270074337,1.780702674,0.120920223,1.973778226,97.29098632,13.30433654,27.8833489,3.3999235,13.17241579,2.690451148,0.578459088,2.542021852,0.323993598,1.656143788,0.293977782,0.733823707,0.565843759,0.054740268,16.49693297,4.266934923,369.292,17.5831202,143.55,7.87,196.2,4.29,10.17,14.46,2293.5066,20.63924258,Clay,104.617688,30.933302,461,Flat,0.358521998,5976.700195,4151.700195,821.4000244,0.503602028,5.599999905,25.70000076,37.65999985,-4.809999943
F1_1_15,3.55414971,10.00187182,0.452143235,182.7831916,2905.943847,1665.22977,10313.05453,2.480834441,129.4694141,19.35325213,16.49515822,227.2392334,13498.95592,6.163684527,14.33209107,28.75238426,35.95865363,3.768271223,1.006902229,4.133207603,13.22915629,20.63788484,7.038811974,1.274955032,0.310941751,0.037699117,0.314205469,0.355310623,0.067138932,1.747176768,104.5191605,12.04796151,24.82032132,3.052588041,11.86997252,2.426737881,0.517453177,2.265891583,0.287419709,1.466526822,0.257634676,0.656128501,0.49003756,0.032822773,13.88154507,3.646491458,324.5704,19.33811802,189.3,7.88,248.0,4.53,9.35,13.88,2104.9644,17.56848049,Clay,104.617688,30.933302,461,Flat,0.358521998,5976.700195,4151.700195,821.4000244,0.503602028,5.599999905,25.70000076,37.65999985,-4.809999943
