Li_S,Be_S,Na_S,Mg_S,K_S,Ca_S,Sc_S,Ti_S,V_S,Cr_S,Mn_S,Fe_S,Co_S,Ni_S,Cu_S,Zn_S,Ga_S,Ge_S,As_S,Rb_S,Sr_S,Y_S,Zr_S,Nb_S,Mo_S,Cd_S,Sn_S,Sb_S,Cs_S,Ba_S,La_S,Ce_S,Pr_S,Nd_S,Sm_S,Eu_S,Gd_S,Tb_S,Dy_S,Ho_S,Er_S,Yb_S,Hf_S,Pb_S,Th_S,AN,AP,AK,pH,EC,Li_P,Be_P,Na_P,Mg_P,K_P,Ca_P,Sc_P,Ti_P,V_P,Cr_P,Mn_P,Fe_P,Co_P,Ni_P,Cu_P,Zn_P,Ga_P,Ge_P,As_P,Rb_P,Sr_P,Y_P,Zr_P,Nb_P,Mo_P,Cd_P,Sn_P,Sb_P,Cs_P,Ba_P,La_P,Ce_P,Pr_P,Nd_P,Sm_P,Eu_P,Gd_P,Tb_P,Dy_P,Ho_P,Er_P,Yb_P,Hf_P,Pb_P,Th_P,Longitude,Latitude,DI,GDD0,GDD5,GP,MI,MTCO,MTWA,Tmax,Tmin,ALT_extract,Altitude,R_Altitude,NH4_N,NO3_N,N.N,TN,OM,Province_Hebei,Province_Henan,Province_Shandong,Province_Shannxi,Province_Shanxi,Province_Sichuan,City_Bozhou,City_Deyang,City_Guangyuan,City_Heze,City_Jinan,City_Linyi,City_Nanyang,City_Sanmenxia,City_Shangluo,City_Yuncheng,Landscape_Hills,Landscape_Mountain,Landscape_Slope,SoilType_Roam,SoilType_Sandy,CultivationType_Seedings,CultivationType_Unknown,ClimateType_II,ClimateType_III,按气候聚类划分的类型_II,按气候聚类划分的类型_III
3.256671459,0.368974445,277.9203362,643.4366264,889.3820208,893.9115994,0.666163599,94.43142274,5.752392436,4.899917418,51.44587592,4723.435309,1.345628733,2.785994505,9.814316017,19.04116153,2.030251267,0.48831395,1.152607906,9.816489611,3.451048828,1.577869057,2.096759925,0.003106962,0.152124224,0.69428545,3.456331326,0.100886433,1.138911526,23.73998729,15.21979638,24.06614076,2.730398776,8.578833971,1.107600629,0.204132155,0.850454865,0.076698357,0.334899643,0.05415416,0.14376996,0.114289612,0.037382105,9.468018687,10.60393175,213.444,3.998880314,6.85,7.41,40.8,1.168103855,0.102169696,2461.929693,4413.088484,5468.152194,2047.3103,0.071411972,8.228450315,0.754331241,2.881511308,35.63909449,545.0874738,0.549275058,4.703330756,11.90869269,22.29563495,0.24392247,0.092090463,0.284081791,11.87041168,15.04787699,0.736692582,0.77632184,0.104713599,0.138744062,0.076600167,1.056349851,0.109313504,0.209129037,71.81657866,3.183000859,4.369303552,0.574896791,1.94090499,0.29255176,0.068303873,0.258091624,0.029044054,0.131365341,0.025239244,0.06342187,0.046392584,0.023566734,2.963393033,0.497113017,117.7015533,36.34113333,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053,256,249,952.8657996,12.7,6.27,18.97,518.0252,24.04463387,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
4.207117757,0.291584442,193.2357613,834.557504,834.8562782,1000.670942,0.833247364,117.8195904,7.553073443,5.770936362,64.57306829,5703.190559,1.720476117,3.462462455,9.664362479,16.58076143,2.263547345,0.512493159,1.568754687,9.948900383,3.983011805,2.317001871,2.096630033,0.047108135,0.137034381,0.289723395,3.410863967,0.134290889,1.26927632,26.2479305,14.45965031,29.43850276,2.826961883,9.484526014,1.352039837,0.272772639,1.09193494,0.1099911,0.5173431,0.084793842,0.225697558,0.179170375,0.031454504,8.332106035,15.70977928,147.378,4.997800968,39.0,7.49,32.4,1.575490971,0.086864669,2497.02599,3641.293241,7462.268226,2559.150874,0.096672312,8.700179218,0.746570129,4.268374381,60.6231393,487.1366196,0.469683513,4.31198677,13.28810644,22.678336,0.291062963,0.116332989,0.23377959,17.22672593,18.00908291,1.41661583,0.699207374,0.087192498,0.124803089,0.088684373,0.955712089,0.072165813,0.234240568,90.12066803,3.806359047,7.159810362,0.772309266,2.759766633,0.464004501,0.115611765,0.464108398,0.057880527,0.280989022,0.051844433,0.14181188,0.097404632,0.017759268,2.603726963,0.459966653,117.7015533,36.34113333,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053,256,249,952.8657996,19.11,10.14,29.25,511.7574,11.7435038,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
4.244250073,0.264469505,187.2065307,901.0270465,896.6154317,1068.393255,0.963081195,135.9302915,8.828873335,7.138182453,63.38550099,6416.244907,1.899481197,4.377605781,10.43790548,19.92605508,2.408211482,0.52015565,1.826046078,10.31833924,3.798482477,2.053829066,0.865120073,0.094031127,0.16459463,3.872319661,4.111149599,0.141319169,1.318829452,28.00488977,13.31676631,28.31769979,2.545542515,8.406798047,1.18693813,0.206794768,0.955408443,0.092830843,0.450426828,0.077115793,0.203014563,0.16575254,0.009869331,10.77038714,11.22137568,214.291,1.699932003,47.2,7.29,39.7,0.959171576,0.094683653,2529.289885,4957.65629,7648.958405,3112.944661,0.101736757,12.88834533,1.080732959,6.627789473,59.42558708,664.959794,0.564336619,3.249994524,11.12801231,24.59270115,0.322715766,0.123046469,0.396673434,11.97496844,18.96529016,1.044728055,0.652449927,0.125404515,0.142588172,0.114686027,1.081214666,0.091283313,0.220893816,74.55991356,4.508865148,6.283610439,0.796375937,2.653262642,0.404779349,0.089975975,0.363697599,0.04690745,0.202475393,0.04146985,0.10738576,0.078441322,0.016694588,3.159838698,0.826548832,117.7015533,36.34113333,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053,256,249,952.8657996,15.34,4.91,20.25,770.9394,12.94439194,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
4.383214086,0.29986282,282.5339971,782.8913119,1007.252138,1180.242533,0.725426045,114.3003164,7.139984585,5.765378949,55.61626316,5607.499786,1.479005718,4.480906914,8.426232576,25.65585067,2.345750645,0.518948521,1.444662104,11.36304613,4.040257694,1.89589201,2.06830484,0.021869318,0.145818108,0.610159259,4.251917035,0.12293758,1.36907593,25.18329407,18.92600962,29.60787446,3.370701764,10.56550874,1.356278089,0.226705781,0.986430812,0.091413589,0.405600701,0.065177912,0.179293521,0.147968324,0.037990866,11.02118919,10.3586245,149.072,3.1,45.35,7.29,58.5,1.313674516,0.125918403,2306.330204,5813.600432,5940.481951,2429.873436,0.061633782,6.611371069,0.546231802,3.854618439,56.58341532,303.9032214,0.444915845,2.613685698,13.10007772,18.39453939,0.248779846,0.089873216,0.186502705,9.021413574,16.87183254,0.952213377,0.555832928,0.055798315,0.079253773,0.105101722,0.9442116,0.07017236,0.138311103,73.77008458,4.361660637,5.874966401,0.748358076,2.451089807,0.367169944,0.085037972,0.318723009,0.042517981,0.183612617,0.038685974,0.095572974,0.065670859,0.011402531,3.915552568,0.287181335,117.7015533,36.34113333,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053,256,249,952.8657996,13.64,2.64,16.28,550.7194,15.10423057,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
3.265780446,0.338156233,285.5430539,700.2362602,925.0864456,1080.295083,0.678094644,87.06079721,5.957935177,5.017303306,47.66077255,5141.003078,1.21143497,2.958331705,6.297977252,18.03766957,2.286445365,0.476230002,1.148270267,10.07505535,3.937054228,1.59705766,3.620569992,0.003106962,0.154452634,0.880421061,4.479323244,0.127514731,1.151923627,24.62307276,16.98995205,28.30763258,2.918387673,9.202694928,1.153366542,0.206444693,0.867312314,0.075779214,0.329556334,0.054301979,0.14717628,0.120370312,0.081766578,10.99147704,16.26541397,214.291,2.5,15.65,7.2,36.7,1.274910574,0.147475883,2133.206497,5093.179965,6395.645985,2100.097561,0.051051708,5.065882135,0.409176121,2.815860137,42.17367744,293.7008855,0.422511632,3.766234932,14.50407886,19.4448382,0.207013735,0.072166433,0.197827601,9.794043686,14.06830013,0.610736673,0.310986107,0.048037585,0.094742611,0.080626799,0.965311559,0.055110859,0.141338573,77.40002345,3.556559051,5.046945709,0.586353013,1.911087833,0.269693613,0.063419528,0.235501164,0.029496763,0.11680619,0.024591873,0.066680531,0.043490622,0.011989071,3.769768594,0.406567516,117.7015533,36.34113333,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053,256,249,952.8657996,13.77,7.64,21.41,466.0194,20.22424341,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
3.796276616,0.341446834,223.2615244,666.5210288,832.3988165,1151.447618,0.619858629,104.2282243,6.516024984,4.829580419,48.82571076,5287.969023,1.223691329,2.743297756,8.826129527,18.65410112,2.179827541,0.504060324,1.241907777,9.835779682,3.46036186,1.76697144,2.606731743,0.003106962,0.15945126,0.301574375,3.72654282,0.118185877,1.146152569,22.47799225,18.34229771,28.1601143,3.230030978,10.20656446,1.290665341,0.211698434,0.967941663,0.086359224,0.379375872,0.060926886,0.168487544,0.134053328,0.053448258,10.31080441,14.98501747,145.684,0.99980004,5.15,7.29,33.6,1.328421938,0.126318289,2452.290403,4981.441194,10368.66112,3008.213162,0.071133389,7.112863921,0.597738089,3.337006865,98.70718762,408.7228849,0.652526671,4.517696276,15.74566678,22.03648818,0.292322752,0.13071509,0.215315196,16.37725218,20.37454667,0.877138682,0.479822128,0.054648409,0.142954534,0.130463988,0.984762497,0.081666552,0.192077697,95.23629311,5.7018638,6.997329897,0.945293137,3.022223114,0.428152653,0.093526823,0.37076431,0.041402541,0.180161962,0.035421479,0.088929342,0.065879413,0.017042648,6.103577155,0.391703573,117.7015533,36.34113333,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053,256,249,952.8657996,14.85,4.13,18.98,466.0194,16.14685532,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
3.743036565,0.333410938,196.1301031,794.9237864,898.9732674,1335.095718,0.764966653,115.474449,7.251451798,5.166099177,60.60778259,5970.217116,1.64636065,3.140509626,9.375585559,15.96045557,2.483193411,0.570058118,1.518160649,11.37837024,3.779345681,1.783334371,2.380875832,0.031803807,0.24361814,0.20051016,3.815447644,0.131907506,1.390041384,25.83649801,18.25853187,34.74980124,3.267925633,10.33370579,1.320311606,0.21152963,1.017769631,0.091683732,0.397527404,0.063313351,0.178222637,0.139204599,0.042857271,11.86758775,14.92492178,162.624,3.788936306,15.2,7.43,36.7,1.268700572,0.120380549,2449.97832,4796.70831,7660.640974,2374.179161,0.101571243,8.982142907,0.72719792,3.536187185,52.40756117,535.3380575,0.534565232,3.086609063,14.17747753,23.64902746,0.331735242,0.126282266,0.248023911,13.26386113,16.48707873,0.848822502,0.482886268,0.063675849,0.084481164,0.094030656,1.007707565,0.053804932,0.221943856,66.3320208,4.800425507,7.010932622,0.855776787,2.814514003,0.397991418,0.087247005,0.339770863,0.041333846,0.176857077,0.03503134,0.084689495,0.065321663,0.01336294,4.39186179,2.236598082,117.7015533,36.34113333,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053,256,249,952.8657996,16.11,10.09,26.2,1013.1814,14.57079863,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
6.090832094,0.510749058,226.0637564,1107.460213,1192.805005,1698.032874,1.239439926,177.0019397,10.41664973,8.426754407,62.67027851,8286.136823,1.721836446,4.923152751,7.865804338,19.90973953,3.219197581,0.717546958,1.930784198,15.49348856,5.39907355,2.219586093,4.015787583,0.086538091,0.195042395,0.505418035,4.961625511,0.160805018,2.040238056,35.42241106,18.49688547,36.64760876,3.41859528,10.98831308,1.488916534,0.250338947,1.125309158,0.105819169,0.484214955,0.079620844,0.220390373,0.170536042,0.106291221,13.81346522,12.02340149,145.684,1.295388417,32.25,7.45,40.4,1.233824958,0.162387078,2328.004546,4575.181115,7578.999624,2921.191074,0.118019441,11.51054283,0.924369682,3.379566135,49.99134258,619.6333962,0.553845349,2.393153926,11.36422523,21.46256179,0.443036723,0.173797608,0.29402834,19.7655737,20.39512102,1.464021092,0.286463448,0.07199237,0.083683653,0.062408181,0.923301664,0.057528291,0.415746772,91.44805626,7.783403666,8.094556002,1.364207173,4.45222254,0.637414193,0.133423222,0.535582905,0.068190146,0.280335125,0.058558683,0.138747879,0.096517243,0.009841787,4.623951646,0.626950118,117.7015533,36.34113333,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053,256,249,952.8657996,7.9,30.92,38.82,401.6474,19.50590767,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
4.82572342,0.286828721,272.7481824,911.7414178,1047.447716,1770.460325,0.951168896,142.3085523,9.849488704,8.028125412,76.87020292,7049.992449,2.058944976,4.716534525,9.022582148,18.63908443,2.603335322,0.597039587,1.867866189,11.4975613,4.636062472,2.444617653,2.625696298,0.079318659,0.172643823,0.289433518,4.792433689,0.152687275,1.369946192,31.61054885,14.9012375,30.65039386,2.855062853,9.351800607,1.360358993,0.256563849,1.116163098,0.109837806,0.522079208,0.090729521,0.235500694,0.199061,0.063842443,11.61188452,31.53477885,214.291,1.196172249,3.45,7.19,34.7,1.069571077,0.054113226,2901.27864,4444.593353,8282.308232,2846.291678,0.068476405,6.641650451,0.478810511,5.773733639,61.03071694,317.1622576,0.620697517,5.229223381,10.03199678,13.47839763,0.180264522,0.076137887,0.199424644,12.62349912,16.98034941,0.772682986,0.400733308,0.053576063,0.081748473,0.105586059,1.021841597,0.045787202,0.16395314,52.47813261,2.851432837,3.792371202,0.486264632,1.60659068,0.253948641,0.062014653,0.248126745,0.034005169,0.147261596,0.030248979,0.07595225,0.053190964,0.012678622,2.567536383,0.215270946,117.7015533,36.34113333,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053,256,249,952.8657996,10.85,4.59,15.44,537.1674,7.50428229,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
3.172514074,0.195239874,205.0036383,706.5720181,797.383678,1776.444266,0.724359639,109.6431341,7.249575246,5.894002493,60.44913477,5120.14252,1.61434694,3.499878541,8.553003156,19.67389531,1.818618467,0.394903082,1.360728879,8.456914215,3.812616779,1.833794547,1.226723757,0.009320887,0.108075274,0.324705153,3.840757272,0.116783967,0.938745146,25.651007,9.849993317,19.69645757,1.922664911,6.387214359,0.931803538,0.173852936,0.777989487,0.084619753,0.389397422,0.066564623,0.170969798,0.146864267,0.015844486,7.042029144,11.10385802,198.198,4.587155963,17.05,7.55,34.3,0.797907365,0.049446877,2429.704033,5722.994486,7123.76529,2478.162952,0.064494913,6.696709128,0.554180884,3.758120075,52.79548184,344.7141206,0.443683837,4.359753869,17.20701181,22.99067851,0.190526826,0.086552927,0.169058645,17.9848629,15.67666079,0.76880439,0.296209007,0.049967718,0.07597091,0.083893333,0.998066838,0.070406849,0.258127352,67.15174699,2.394506271,3.622814078,0.419150855,1.450800291,0.230958097,0.05934869,0.222939475,0.031669284,0.137052175,0.030549864,0.070687676,0.055174187,0.012897622,1.364837198,0.243814907,117.7015533,36.34113333,0.259660006,4890.100098,3457.800049,851.2000122,0.588261008,-2.0,26.20000076,40.36000061,-20.94000053,256,249,952.8657996,9.66,6.0,15.66,469.4074,14.23104576,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
